"регион","средний доход","column_20% персентиль дохода","column_40% персентиль дохода","column_60% персентиль дохода","column_80% персентиль дохода","column_100% персентиль дохода","доля населения с среднедушевые доходом ниже медианы","численность населения с денежными доходами ниже границы бедност","население","моложе трудоспо-собного возраста","в трудоспо-собном возрасте","старше трудоспо-собного возраста","a","b","c","d","e","f","g","h","i","j","k","l","m","n","p","q","r","s","< 18","t","q.1","r.1","s.1","t.1","u","v","w","column_18 <= x <= 25","x","y","z","aa","ab","column_25 < x <= 30","ac","ad","ae","af","ag","ah","ai","aj","ak","al","column_30 < x <= 40","am","an","aq","ar","as","at","aq.1","av","ax","az","column_41 < x <= 50","ba","bb","bc","bd","be","bf","bg","bh","bi","bj","column_51 < x <= 60","bk","bl","bm","bn","bo","bp","bq","bv","bw","bx","by","bz","ca","cb","cd","ce","cf","cg","ch","ci","cj","ck","cl","cm","cn","co","cp","cr","cs","ct","cq","cu","cv","cw","cx","cy","cz","da","db","dc","> 60","мужчины","мужчины моложе трудоспо-собного возраста","мужчины трудоспо-собного возраста","мужчины старше трудоспо-собного возраста","женщины","женщины моложе трудоспо-собного возраста","женщины трудоспо-собного возраста","женщины старше трудоспо-собного возраста","городские мужчины","городские мужчины моложе трудоспо-собного возраста","городские мужчины в трудоспо-собном возрасте"," городские мужчины старше трудоспо-собного возраста","городские женщины","городские женщины моложе трудоспо-собного возраста","городские женщины в трудоспо-собном возрасте","городские женщины старше трудоспо-собного возраста","оценка туристского потока (число поездок)","оценка туристского потока (число ночевок)","доход от гостиниц/отелей/хостелов в год (тыс)","число турфирм"
"        Саратовская область","32979","10503","18504","26427","37867","71595","15.1000000000","12.9000000000","2431012","394826","1397115","639071","19543","18659","20056","22198","23306","26622","28058","28245","28152","28199","26565","25368","25896","26362","25443","22154","23125","23310","441261","23543","24027","22952","24435","23474","23298","21636","24964","188329","26705","25784","27054","30419","34109","144071","39042","39563","40352","41817","41244","41166","39869","39768","37749","36242","396812","38328","36910","35354","34552","36290","36277","34082","32300","33362","32081","349536","34080","31869","32510","29812","31333","32836","32757","35859","35213","36235","332504","37698","35512","34666","32895","33368","33479","32646","28707","28521","26730","26995","26698","23179","19582","18670","11837","7492","8007","10770","15220","14628","14648","13033","10846","8406","6134","3413","2631","3158","1954","1817","1493","1113","895","572","426","281","211","100","68","578499","1128282","203517","727630","197135","1302730","191309","669485","441936","852298","154175","551272","146851","1009923","144879","528586","336458","814242","3183412","4479632.3000000000","124"
"        Костромская область","43636","14280","24896","35291","50185","93528","14.6000000000","9.5000000000","577996","107714","307707","162575","4919","5078","5470","5724","6507","7271","7581","7712","7838","8052","7611","7195","7148","6785","6627","6196","6421","6581","120716","5463","5059","4876","4600","4297","4228","4024","4358","36905","4387","4696","4673","5462","6423","25641","7633","8192","8603","9422","9141","9005","9278","9661","8820","8689","88444","8765","8501","8490","7988","8310","8126","8004","7630","7561","7245","80620","7277","6876","6787","6564","7164","8013","8027","8759","9318","9950","78735","10880","10119","10328","9640","9103","8862","8715","7441","7347","6865","6936","6811","4835","4595","3787","2133","1371","1163","1922","3430","3248","3377","2898","2417","1711","1460","1198","918","869","596","553","404","319","254","175","115","55","44","23","18","146935","262672","55082","160375","47215","315324","52632","147332","115360","190698","41522","117654","31522","235848","39967","114021","81860","454685","1203106","2283873.1000000000","66"
"        Республика Коми","54576","16328","29456","42791","62388","121917","16.3000000000","11.7000000000","734363","138514","425682","170167","6140","6344","6789","7280","8396","9484","9819","10205","10198","9968","9222","9345","9214","9104","8841","8165","7941","8285","154740","7454","6898","6067","5736","5668","6062","5830","6354","50069","6476","6715","7057","8139","9126","37513","10266","10928","11992","13415","14026","13675","13523","13582","13090","12335","126832","12757","11901","11900","11531","11804","11420","10994","10504","10868","10492","114171","9874","9469","9176","8941","9297","9922","9858","10516","10894","11514","99461","11946","11250","10996","10297","9840","9404","9298","7798","7821","7453","7203","6980","5046","4502","3792","2180","1573","1303","2050","2945","2781","2929","2491","2127","1592","1210","874","836","766","550","457","360","293","198","150","113","67","45","24","37","151577","339964","70418","222128","47418","394399","68096","203554","122749","260508","54415","171984","34109","308945","52864","164079","92002","273509","1049828","1453930.7000000000","102"
"        Иркутская область","42268","13184","23412","33628","48466","92648","15.5000000000","13.9000000000","2363447","518049","1331387","514011","26069","26701","27888","30356","31674","34971","36084","35837","36749","37296","35906","32842","33115","33725","31275","27561","26403","26761","571213","27302","25537","24409","24583","22958","23096","21207","23036","192128","24298","24195","24264","26918","30291","129966","37146","39170","40751","42262","42181","40464","39274","40797","39755","36875","398675","38475","36007","34573","33381","34158","33364","32805","31333","30953","29621","334670","29024","26661","26503","24888","25052","26443","27029","28599","29721","31083","275003","32863","30796","30278","29385","28202","27260","27570","24792","24411","22863","21633","20684","16749","15212","12443","7367","5251","4795","7127","9755","10337","9913","8693","7983","5756","4411","3022","2399","2478","1736","1599","1164","917","625","420","296","249","174","114","70","461792","1086116","266202","676251","143663","1277331","251847","655136","370348","827373","199041","519942","108390","1007141","188375","519697","299069","1553341","4485123","8179680.4000000000","255"
"        Челябинская область","39695","13042","22703","32147","45662","84918","14.6000000000","10.6000000000","3421556","671416","1922152","827988","33330","33066","34107","37475","39870","46197","48070","49084","48612","49453","46899","43798","43224","42502","39540","36189","35700","36447","743563","34812","33713","31517","31941","30268","32574","30084","32116","257025","34654","37128","36280","44439","49129","201630","54136","56089","60207","61477","60288","58934","57789","58497","54004","51797","573218","53386","49855","49749","49180","49035","49075","47018","45733","45140","43303","481474","43693","40195","39011","37567","37831","39237","40538","44075","45435","47561","415143","50637","47121","46196","45134","43230","43973","42915","38144","39424","37440","34831","34169","26983","25527","22016","13302","8803","8090","10936","16417","17376","17825","16398","14107","10999","8439","5499","3743","4300","3633","3476","2353","2016","1457","954","710","389","263","137","141","749503","1568338","344484","985581","238273","1853218","326932","936571","589715","1284629","280476","815191","188962","1542111","265011","792765","484335","1808517","6807272","9076707.2000000000","385"
"        Краснодарский край","54492","14427","27229","40865","61594","128346","18.3000000000","9.2000000000","5832042","1112335","3307887","1411820","60306","61115","63024","66686","70195","76914","78981","79280","76779","76368","71681","68469","67756","68501","65220","61060","61351","61272","1234958","58576","55378","51784","54816","50954","52930","52393","56624","433455","62333","64060","66483","74847","80660","348383","92589","90813","94834","99942","101288","101139","98256","99241","94076","89461","961639","98689","88456","86686","82482","83845","85611","81750","78961","79515","75720","841715","80564","68712","68412","66704","67168","70658","70307","74740","78634","82044","727943","90728","80348","77131","72463","71979","70528","71541","65023","64362","58737","61458","58194","47379","44474","36801","21779","15942","17303","21577","30566","34654","32591","29697","28581","19513","14658","7974","5748","6360","5157","6859","3933","3463","2449","1819","861","513","387","229","190","1283949","2749485","572221","1729083","448181","3082557","540114","1578804","963639","1556645","334564","984540","237541","1765674","317201","921860","526613","18072510","100110964","149338428.0000000000","473"
"        Тюменская область","68855","16207","31901","49359","76751","170054","20.0000000000","10.3000000000","3827679","856166","2284581","686932","45357","45777","46665","50756","52598","57514","60489","61114","60191","60775","56732","55765","54420","52264","49215","46534","45053","43541","944760","40510","38343","35707","37661","36338","37385","36260","39567","301771","42643","42413","42562","47675","53627","228920","62704","65853","70507","75947","77162","75396","72654","73354","70064","64611","708252","66440","61701","60598","57617","58727","58050","54278","51189","51542","49214","569356","49858","45990","44973","42641","43812","46746","45844","49854","50328","51675","471721","54575","50040","47568","44626","41128","40564","38660","33262","31964","29239","25742","25003","18280","16806","14002","8067","5504","5110","6434","9250","9146","9361","7973","6981","5289","4180","2923","2601","2439","1613","1354","938","762","465","332","266","219","122","67","44","602899","1816225","438373","1171481","206371","2011454","417793","1113100","480561","1457103","351739","949576","155788","1636819","335607","922860","378352","2922993","7775449","14869598.2000000000","530"
"        Карачаево-Черкесская Республика","25511","9253","15494","21340","29470","51997","12.6000000000","21.5000000000","469096","99780","275519","93797","4569","5354","5691","5755","5932","6376","6913","6453","6613","6723","6186","7101","6763","7012","6819","5520","5946","5487","111213","5449","5383","5027","5873","5456","5864","5020","5728","43800","6761","5657","5849","6739","7126","32132","8917","8004","8053","7767","8008","8678","7076","7339","7233","6534","77609","8113","6631","6613","5882","6060","6636","5618","5359","5465","5417","61794","6385","5435","6068","5338","5432","6403","5752","5855","5776","5965","58409","7158","6077","6125","5575","5491","5020","4805","4162","4091","3455","3857","3177","2533","2115","1636","1232","765","1179","1361","1927","2107","1977","1715","1457","1206","966","562","479","615","260","399","181","159","111","66","61","34","20","21","2","84139","220961","50985","139326","30650","248135","48795","136193","63147","88208","20004","55512","12692","105708","19036","59405","27267","923044","2919037","990164.0000000000","14"
"        Томская область","41213","13489","23516","33333","47398","88325","14.6000000000","11.6000000000","1062726","201526","622135","239065","9464","9851","10610","11587","12613","13916","14502","14347","14431","14061","13287","13100","13185","13158","12252","11162","11105","11682","224313","13755","13804","12643","13647","11932","11336","9893","10546","97556","10962","10402","10979","12765","16047","61155","18382","19083","18372","19621","19380","20088","18557","19884","18770","17229","189366","17979","16742","15959","15055","15047","14886","13919","13300","13736","13048","149671","13504","12141","11466","11030","11455","12053","11726","12980","13283","13617","123255","15372","14715","14522","13824","13432","13847","13039","11812","11318","10604","10239","10183","8293","7298","5879","3973","2504","2422","2985","4009","4312","4200","3594","3253","2295","1872","1568","1211","1142","826","757","533","418","306","233","227","180","64","52","97","217410","497416","103281","319800","74335","565310","98245","302335","164730","352007","70842","231668","49497","406894","67219","225538","114137","408767","1494806","2116057.9000000000","120"
"        Республика Калмыкия","27080","9842","16468","22667","31284","55139","12.5000000000","20.6000000000","266432","58638","150417","57377","2741","2942","3022","3287","3271","3613","3857","3976","4041","4110","3975","4183","4069","4210","4016","3325","3336","3244","65218","3012","2674","2606","2564","2632","2655","2625","2682","21450","2837","3034","3001","3451","3654","15977","4274","4522","4533","4866","4633","4631","4534","4370","4207","3811","44381","3993","3716","3474","3378","3276","3300","3148","2888","2823","2703","32699","2982","3043","3177","3228","3388","3731","3949","4193","4190","4380","36261","4461","4232","3962","3669","3626","3450","3284","2800","2637","2393","2107","1958","1232","1071","880","470","291","454","678","793","972","944","835","717","615","473","258","191","234","171","189","127","87","76","37","32","18","9","11","2","50446","128434","30319","80142","17973","137998","28319","70275","39404","56734","14861","34069","7804","67911","13897","34878","19136","93845","220139","169440.4000000000","13"
