"регион","средний доход","column_20% персентиль дохода","column_40% персентиль дохода","column_60% персентиль дохода","column_80% персентиль дохода","column_100% персентиль дохода","доля населения с среднедушевые доходом ниже медианы","численность населения с денежными доходами ниже границы бедност","население","моложе трудоспо-собного возраста","в трудоспо-собном возрасте","старше трудоспо-собного возраста","a","b","c","d","e","f","g","h","i","j","k","l","m","n","p","q","r","s","< 18","t","q.1","r.1","s.1","t.1","u","v","w","column_18 <= x <= 25","x","y","z","aa","ab","column_25 < x <= 30","ac","ad","ae","af","ag","ah","ai","aj","ak","al","column_30 < x <= 40","am","an","aq","ar","as","at","aq.1","av","ax","az","column_41 < x <= 50","ba","bb","bc","bd","be","bf","bg","bh","bi","bj","column_51 < x <= 60","bk","bl","bm","bn","bo","bp","bq","bv","bw","bx","by","bz","ca","cb","cd","ce","cf","cg","ch","ci","cj","ck","cl","cm","cn","co","cp","cr","cs","ct","cq","cu","cv","cw","cx","cy","cz","da","db","dc","> 60","мужчины","мужчины моложе трудоспо-собного возраста","мужчины трудоспо-собного возраста","мужчины старше трудоспо-собного возраста","женщины","женщины моложе трудоспо-собного возраста","женщины трудоспо-собного возраста","женщины старше трудоспо-собного возраста","городские мужчины","городские мужчины моложе трудоспо-собного возраста","городские мужчины в трудоспо-собном возрасте"," городские мужчины старше трудоспо-собного возраста","городские женщины","городские женщины моложе трудоспо-собного возраста","городские женщины в трудоспо-собном возрасте","городские женщины старше трудоспо-собного возраста","оценка туристского потока (число поездок)","оценка туристского потока (число ночевок)","доход от гостиниц/отелей/хостелов в год (тыс)","число турфирм"
"        Ярославская область","43482","13947","24504","34928","49949","94084","15.0000000000","8.1000000000","1205637","214396","668932","322309","10227","10588","11147","12343","13271","15199","15440","15177","15347","15200","14254","13918","13963","13497","12741","12084","12303","12574","239273","12542","12219","11613","10650","9952","10411","10074","10413","87874","11093","11776","11230","13209","15252","62560","17357","18245","19909","20780","20228","19885","19469","20233","18811","18100","193017","18767","17905","17981","17644","17736","17485","16995","16870","16818","16300","174501","16130","14971","14431","14566","14875","15204","15528","16613","16628","17735","156681","18177","17078","16953","16663","16018","16429","16232","14469","14576","14188","14125","14364","10486","10176","9005","5243","3691","2920","4791","7950","7304","7618","6827","6461","3973","3312","2291","1943","1831","1501","1440","1040","844","554","418","336","203","93","68","140","291731","541571","110134","344148","87289","664066","104262","324784","235020","433438","91047","276889","65502","543961","86031","270587","187343","1315122","3643304","5650498.6000000000","155"
"        Республика Северная Осетия-Алания","34561","11149","19546","27816","39715","74580","14.9000000000","12.3000000000","685393","137242","399059","149092","6962","7188","7490","7984","7856","8637","9465","9398","9490","9812","9258","9295","8676","8842","9048","7841","8113","7413","152768","8037","8203","7917","9522","8666","8404","7649","8525","66923","9393","8209","8314","9299","9648","44863","11854","11642","10899","10831","11294","11979","10010","9990","9463","8976","106938","11493","9396","9394","8893","9195","10277","8663","8507","8436","8237","92491","9752","8395","8841","7967","8322","9642","8284","9014","8642","8795","87654","10298","8592","8470","7614","7752","7277","7094","5938","6339","5581","6285","5469","4377","4077","3488","2858","1822","2024","2969","3376","3761","3324","3238","2608","2114","1802","1131","925","1102","424","545","306","277","149","118","82","68","50","28","4","133756","319827","70571","203746","45510","365566","66671","195313","103582","197724","42578","126833","28313","235508","40361","126095","69052","354239","820637","1168706.9000000000","22"
"        Псковская область","38716","12411","21810","31093","44472","83794","15.0000000000","13.1000000000","596899","98042","330426","168431","5030","4727","5175","5757","5945","6826","7010","6777","6783","6909","6688","6197","6180","6225","6228","5585","5740","5887","109669","5813","6584","6372","5521","4802","5101","4830","5269","44292","5424","5268","5435","6342","7322","29791","8713","8902","9434","10091","10006","9602","9336","9559","9511","8822","93976","9080","8457","8540","8353","8681","8536","8313","8058","8383","8175","84576","8278","7538","7496","7420","7761","8177","8286","8878","9232","9588","82654","10222","9735","10050","9776","9202","9030","8821","7804","8059","7443","7516","7351","5501","4920","3984","2513","2045","1577","2249","3502","2975","3136","2978","2608","1920","1472","1007","934","1085","676","577","355","328","194","126","105","63","41","31","30","151941","271322","50416","173774","47132","325577","47626","156652","121299","188089","36847","121118","30124","235128","35084","115805","84239","1587931","4638187","2611635.8000000000","68"
"        Орловская область","48401","13445","24934","36949","54974","111702","17.5000000000","10.9000000000","710023","116682","396230","197111","5294","5685","5819","6574","6872","7918","8187","8039","8110","8343","7887","8006","7720","8011","7466","6751","6627","6817","130126","6969","6556","6143","6452","5871","5998","5635","6350","49974","6632","7330","7625","9020","10045","40652","11295","11661","11384","11543","11417","11138","10715","11142","10595","10228","111118","11043","10375","10558","9943","10377","10302","9995","9510","9574","9857","101534","9700","9091","8907","8776","9150","9735","9337","10801","10760","11305","97562","12378","11524","11842","11373","11443","10689","10307","8940","9079","8390","8196","8613","6927","5736","4999","2543","2114","1932","2878","4027","3720","4054","3840","3012","2433","1757","1073","1020","1101","819","715","493","393","283","187","76","67","41","24","19","179057","322887","60039","204803","58045","387136","56643","191427","139066","211446","38299","135952","37195","261869","36513","132651","92705","367136","1275464","730051.1000000000","76"
"        Самарская область","42325","13156","23393","33633","48520","92922","15.6000000000","10.6000000000","3164384","552098","1799419","812867","27440","27766","29563","32979","34444","39960","40818","40074","39317","38772","36647","34246","33652","34175","32048","30197","30040","30946","613084","30688","29303","26908","28005","26519","27257","26160","28679","223519","31401","32915","34460","40274","43848","182898","49012","51249","54237","56688","57615","55558","54274","54238","50091","48352","531314","50246","47905","47290","46554","47887","48001","45650","43913","44757","43369","465572","44999","39864","38528","37096","38459","39790","40179","43268","43794","45826","411803","49201","44867","44052","43478","41104","41896","42002","37948","38073","36174","34562","34898","29222","26461","23733","14095","9509","9154","12311","17632","17001","17044","15677","13243","10120","7206","4196","3584","3726","3048","3216","2101","1710","1239","867","613","360","236","94","541","736194","1452973","284309","930900","237764","1711411","267789","868519","575103","1141242","225388","733590","182264","1377325","212863","705709","458753","2039895","8471227","6331987.5000000000","392"
"        Чукотский автономный округ","138245","34598","66636","101486","155278","333225","19.2000000000","5.2000000000","47906","10559","31149","6198","502","525","568","654","673","689","740","701","686","717","662","716","688","731","667","640","700","682","11941","571","456","431","489","473","475","530","505","3930","562","666","571","695","671","3165","859","787","883","950","968","1010","859","889","910","886","9001","880","857","882","817","786","802","745","748","772","748","8037","764","726","661","597","583","707","650","674","621","673","6656","620","518","482","452","450","362","356","313","263","217","226","147","115","151","91","55","43","44","52","43","49","37","26","19","15","7","8","1","2","7","0","2","1","0","1","0","0","1","0","0","5176","23907","5351","16684","1872","23999","5208","14465","4326","16424","3356","11713","1355","16535","3298","10205","3032","47999","241992","216233.0000000000","3"
"        Республика Дагестан","39646","11707","21223","30941","45274","89085","16.5000000000","12.7000000000","3186902","811054","1953845","422003","43253","46483","46799","49562","50441","51903","53196","55949","54479","54467","53588","52929","51353","53109","49676","43867","49375","45658","906087","45376","42935","38754","43823","41855","45205","42750","48473","349171","50792","48896","47211","54689","58128","259716","70195","60951","57939","56706","55523","57404","48317","47804","45051","40689","540579","51384","40280","39866","37188","38748","43328","37134","36898","36314","34574","395714","45024","34986","38438","34547","34531","40642","35809","35234","35322","33312","367845","40137","30514","28443","24788","23543","22364","19827","16628","16320","13669","16655","12500","10643","8430","7155","6846","3995","4119","6369","5802","8525","6447","6235","5650","5115","4233","2842","2260","2611","1310","1854","509","533","262","210","175","98","78","68","28","367790","1572559","420888","1008402","143269","1614343","390166","945443","278734","711196","175951","473136","62109","730066","158735","457530","113801","1094062","3651179","3661288.4000000000","73"
"        Республика Хакасия","34979","12151","20698","28856","40346","72845","13.5000000000","16.9000000000","532988","116811","297354","118823","5244","5382","5690","6364","6815","7632","8148","8311","8476","8595","8118","8243","8162","8072","7329","6230","6192","5987","128990","5695","4992","4685","5034","4603","4547","4314","4635","38505","4966","5036","5458","6157","7083","28700","8272","8622","8845","9645","9628","9431","9300","9511","9448","8772","91474","8971","8232","8205","7845","8229","8040","7282","7284","6814","6230","77132","6604","5678","5724","5365","5367","6012","5906","6637","6807","7095","61195","7886","7425","7324","6888","6873","6699","6762","6147","6215","5507","5197","5128","3892","3159","2570","1610","998","1039","1475","1942","2017","1968","1692","1409","1130","847","597","496","544","374","372","240","192","155","90","53","40","17","11","12","106992","245046","60155","149370","35521","287942","56656","147984","83302","164431","40122","100509","23800","200584","37891","104705","57988","410955","1553451","745496.8000000000","51"
"        Республика Татарстан ","52221","15294","27811","40635","59593","117770","16.7000000000","5.0000000000","4000084","773743","2283072","943269","40901","41263","42633","47040","49363","56733","57620","56842","56765","55913","50652","48623","46592","44522","41188","37093","39393","38641","851777","40874","39356","35000","38195","36363","37228","38302","41377","306695","44775","43501","46339","51497","56166","242278","69714","72370","74080","77108","74174","72101","67896","67525","60643","57873","693484","59581","57836","54956","53668","56481","54898","52094","49909","49773","47138","536334","50588","47122","47749","46620","50708","52569","52252","57221","57505","59800","522134","65276","58795","56944","54316","51017","50979","48923","41970","41546","38185","35915","36216","28718","26553","22941","13152","8405","8932","12711","19435","19439","19859","17142","14091","11659","8824","7360","5509","5420","4428","3651","2582","2146","1582","1045","723","438","292","111","152","847382","1868294","397453","1185297","285544","2131790","376290","1097775","657725","1413083","315358","893441","204284","1657832","299037","868527","490268","4191422","13998938","16846118.7000000000","628"
"        Брянская область","40161","12749","22488","32146","46104","87319","15.2000000000","11.4000000000","1164635","200373","659068","305194","9137","9769","10254","11372","11737","13657","14381","13201","13539","14094","13579","13180","13590","14172","13427","11284","11814","11479","223666","10960","10608","10115","9707","10163","10214","10315","11507","83589","12302","13111","12861","14635","14892","67801","17528","18253","18313","19354","20692","19215","18513","18743","17258","17101","184970","18401","17129","17485","15614","16646","17226","16230","15592","15816","15545","165684","16639","15045","15549","14848","15711","16464","15749","17323","17741","18547","163616","20185","18334","18228","17535","16843","16441","15268","13178","13630","12915","13215","12529","9469","8258","6952","4107","3565","3227","4733","6268","6107","6032","5644","4899","3940","2839","1714","1632","2103","1258","1338","863","736","469","330","207","139","95","56","28","275309","533625","102837","344015","86773","631010","97536","315053","218421","363213","72306","231843","59064","446427","68664","222849","154914","582488","2520420","1728119.8000000000","98"
"        Архангельская область","56617","16988","30613","44436","64736","126310","16.2000000000","10.0000000000","1016030","185226","564960","265844","8258","8506","9339","10234","11145","12618","12857","13013","13024","13088","12645","12671","12553","12120","12074","11081","11388","11415","208029","10371","10243","9535","8302","7913","8527","8079","8449","71419","8622","8339","8293","9442","11468","46164","13543","14837","16439","17713","17615","16859","16808","17725","17283","16148","164970","16747","15818","16112","15922","16279","15994","14854","13812","14050","13056","152644","12887","12080","11889","12101","12736","13230","13083","14110","14349","15592","132057","16193","15413","15376","14871","14818","15160","14939","12906","12847","12159","11219","11562","7955","7951","7165","4059","2784","2294","3459","5575","4951","5190","4495","4122","2760","2341","1722","1596","2001","944","581","384","314","211","188","116","54","41","16","15","240747","470354","96112","296943","77299","545676","89114","268017","188545","359422","74758","230909","53755","427627","71141","217644","138842","774444","2702607","1703219.0000000000","175"
"        Республика Ингушетия","24367","8660","14620","20251","28130","50175","13.0000000000","26.8000000000","511316","145814","320469","45033","8457","8284","8175","7982","7814","7668","8639","9716","9376","9578","11331","9924","10211","10205","9361","9093","9884","8794","164492","9316","9341","7743","9770","9807","8893","8543","9356","72769","10295","8435","8386","9557","7962","44635","12414","10295","7788","7221","7994","8979","5975","6087","6664","5701","79118","9360","6564","5944","4483","5462","6503","4900","4991","5461","5332","59000","8536","6169","5875","4026","4067","6212","3965","4572","4208","4111","51741","6149","3820","3424","2358","2875","2535","1957","1728","1727","1389","1906","1155","892","676","653","636","473","490","640","462","732","492","415","308","372","287","223","178","171","106","134","58","50","26","15","22","8","13","6","–","39561","254445","74458","164380","15607","256871","71356","156089","29426","139712","39881","91507","8324","140579","38572","86416","15591","72737","115616","146580.8000000000","4"
"        Белгородская область","47184","14379","25761","37236","54014","104528","16.0000000000","6.0000000000","1536466","258850","873576","404040","12203","12272","13189","14364","15181","17372","17951","18230","18384","18431","17716","16782","17261","17581","16661","15272","14419","14798","288067","14779","13910","13147","13988","13113","13687","13641","14924","111189","16452","17686","17660","19834","20602","92234","23935","24161","26016","27090","27379","26136","26029","26045","24174","22937","253902","23895","22879","22643","21479","22153","22065","21657","20642","21013","20045","218471","20400","18370","18623","18841","19811","20112","20740","22842","24084","24526","208349","25804","23893","23739","22713","21683","20755","20200","18042","18149","16872","16605","17239","13231","10461","10059","5177","4162","4116","6337","9067","8807","8866","8413","6952","5580","3565","2116","1655","2023","1559","1894","1152","993","700","495","326","284","131","151","288","364254","712397","133185","456410","122802","824069","125665","417166","281238","455190","87356","295691","72143","548158","84686","286899","176573","582672","2112727","2078867.4000000000","112"
"        Калининградская область","43287","14592","25150","35359","49862","91474","14.1000000000","10.8000000000","1030979","183973","603185","243821","8960","9298","9692","10796","11389","12895","13083","13092","12837","12758","12119","11791","11728","11835","11347","10353","10423","10388","204784","11049","12721","11122","11423","10833","10577","9595","10551","87871","11078","10059","10686","11760","13955","57538","16799","17156","17919","18243","18168","18582","17995","17496","16760","16370","175488","17826","15483","15483","15033","15077","15166","14197","14529","14573","14071","151438","14360","12875","13053","12125","12123","13069","13330","13877","14093","14601","133506","15609","14306","14283","13206","13270","13102","12595","11590","11437","11311","10649","10494","8458","7510","6229","3874","2786","2435","3323","4489","4506","4601","4126","3795","2722","2042","1292","1217","1238","891","855","637","457","351","264","161","111","70","33","29","220354","487967","94754","317645","75568","543012","89219","285540","168253","370716","71551","239884","59281","420644","67195","220078","133371","1325935","5902659","7536169.1000000000","117"
"        Ленинградская область","44494","15196","26058","36501","51283","93431","13.8000000000","7.0000000000","2006022","280124","1221888","504010","14416","13876","15134","16905","17366","18977","20319","18840","18514","18805","17887","20227","19047","17400","16280","16131","16990","16227","313341","17783","19408","20770","24067","23152","21474","19136","22078","167868","23596","21823","22156","25189","28160","120924","36575","37636","37823","39701","42023","43838","37267","37629","35364","32917","380773","40096","32891","33425","28979","31167","32313","28560","26830","27333","25553","307147","27695","24835","24696","21951","22885","27794","24212","27317","27595","28965","257945","32819","29261","30356","27383","29390","27822","26569","23821","23995","21739","22793","21419","16321","14778","12789","8796","5665","4526","6055","9340","8999","9804","8884","8142","5514","4510","2954","2725","2903","1928","1728","1232","967","763","500","350","192","136","82","74","458024","943187","143987","645748","153452","1062835","136137","576140","350558","624223","94436","429605","100182","722696","89417","396043","237236","8774793","36160423","13227631.8000000000","121"
"        Мурманская область","73313","24705","42585","59877","84446","154951","14.1000000000","7.0000000000","665240","127773","397484","139983","6185","6584","6842","7409","7726","8505","8797","8883","8734","9025","8618","8662","8237","8240","7922","7404","6657","6858","141288","6416","6638","6574","6434","5716","6174","6055","6672","50679","6770","6902","6658","7599","8754","36683","9949","10945","12121","12676","12932","12498","12381","12417","11714","10990","118623","11575","11139","11260","10874","10967","10677","10560","10127","10107","9538","106824","9366","8763","8408","8056","8229","8389","8545","8760","8968","9334","86818","9487","8934","8444","7960","7657","7685","7536","6814","6655","6246","5783","5883","4373","3922","3575","2094","1592","1166","1659","2737","2299","2387","2138","1951","1335","1052","705","498","567","299","260","184","155","110","67","52","25","16","17","6","124325","313983","65857","213176","34950","351257","61916","184308","105033","289062","61006","195099","32957","330148","57333","173101","99714","748734","2472395","3866254.4000000000","112"
"        Курганская область","33596","10792","18950","27000","38596","72640","15.0000000000","15.5000000000","772332","153408","399807","219117","7186","7358","7547","8454","9194","10240","11026","11177","11645","11579","10732","9442","9226","10479","9799","8324","8352","8243","170003","7486","7167","6294","6734","6151","5786","5077","5689","50384","5970","5988","6106","6874","8448","33386","9735","10015","10636","11466","11910","11422","11115","11595","10919","10565","109378","11201","10464","11067","10573","10753","10777","10643","9944","10397","10067","105886","10048","9396","9352","8867","9555","10361","10226","11811","12429","13049","105094","13335","12650","12976","12641","12595","12611","11558","9786","10982","10182","9010","8877","6765","6253","5749","2956","1896","1909","2551","4131","4685","4789","4354","3157","2702","1996","1242","1058","1150","807","787","645","506","311","257","146","95","45","29","27","198201","351758","78869","208307","64582","420574","74539","191500","154535","219448","49841","132970","36637","274784","47458","132770","94556","320969","1182909","1248823.9000000000","65"
"        Липецкая область","43655","13622","24186","34736","50058","95672","15.5000000000","7.0000000000","1138140","194500","642660","300980","8826","9495","10014","11217","11718","13363","13851","13296","13137","13669","12691","13163","12584","13202","12519","11755","11538","11616","217654","10612","10042","9481","9865","9683","9749","9539","10592","79563","11349","12249","12156","12869","14265","62888","16672","17310","18609","19677","20000","19450","19015","19560","17911","16897","185101","17887","16882","17204","16212","16780","17155","16333","15371","15415","15387","164626","16200","14546","14595","13981","14326","15588","15150","16971","16673","17994","156024","19439","18072","18327","17017","16874","16169","15383","13052","13537","12555","12375","12578","9637","8099","7859","4564","3088","2971","4691","6752","6250","6376","5735","4177","3650","2806","1820","1482","1727","1308","1110","833","646","505","313","195","125","85","38","64","272284","521508","99508","332680","89320","616632","94992","309980","211660","321252","64003","205293","51956","396297","61427","204681","130189","425950","1390812","1777408.4000000000","105"
"        Еврейская автономная область","43127","15148","25691","35706","49765","89324","13.2000000000","18.3000000000","149580","30337","86408","32835","1532","1594","1648","1791","1842","2044","2165","1954","2008","2095","2021","1927","1860","2161","1964","1731","1679","1606","33622","1425","1650","1594","1583","1513","1438","1364","1508","12075","1642","1539","1762","1840","2117","8900","2392","2405","2590","2652","2577","2589","2430","2636","2457","2397","25125","2467","2395","2411","2243","2420","2324","2186","2110","2157","1953","22666","1982","1761","1648","1614","1552","1717","1673","1796","1846","1872","17461","2028","1864","1851","1764","1814","1819","1893","1743","1759","1614","1521","1379","1141","1021","908","547","400","384","540","613","575","572","458","400","279","207","140","99","96","76","64","53","27","34","21","8","9","6","4","0","29731","70237","15526","45004","9707","79343","14811","41404","23128","47908","10667","30370","6871","57969","10247","30451","17271","60521","242823","398395.9000000000","5"
"        Пермский край","44936","13165","23938","34971","51282","101324","16.6000000000","10.6000000000","2525149","511793","1413072","600284","24460","23810","26004","28842","31542","36602","38016","37400","37343","37993","36298","32705","30715","32864","30710","26489","27925","28435","568153","28212","26494","24575","24358","22287","23018","21379","22945","193268","23739","23703","24739","28111","31375","131667","38208","40593","41758","44219","45731","44612","41891","41836","38702","37001","414551","39358","36572","37752","36111","37037","38519","36319","33966","34214","33311","363159","32212","30421","29530","28086","28887","30493","30892","33233","33530","35802","313086","37884","35520","35846","33288","32811","32142","32185","28152","28117","27347","27461","24775","19498","18266","15538","9630","5809","5497","7515","11325","11026","11671","10391","8521","6595","5280","3559","3037","3530","2318","1902","1391","1229","749","607","360","220","155","82","36","541265","1156657","264010","722604","170043","1368492","247783","690468","430241","859148","195984","541121","122043","1051609","183876","539205","328528","1344055","5817611","7082263.8000000000","451"
"        Сахалинская область","87016","23149","43614","65373","98406","204537","18.2000000000","6.3000000000","466009","82651","276198","107160","4393","4605","5363","5212","6127","6775","5484","5236","5175","5024","4824","5106","4880","5032","4771","4644","4685","4293","91629","3434","3732","4366","4892","4715","4742","4152","5054","35087","5066","4800","4724","5339","6251","26180","7150","7564","7960","8771","8956","8625","8062","8256","8301","7508","81153","8285","7988","8547","7665","7852","7913","7262","6772","6809","6659","75752","6677","6028","5926","5131","5462","5722","5420","6044","5840","6109","58359","6771","6305","6334","6014","6002","6179","6397","5822","5734","5305","4854","4866","3515","3324","2673","1729","1309","1132","1411","1790","1717","1586","1455","1250","959","688","514","438","480","291","255","209","165","120","85","74","50","22","16","9","97849","222622","41962","146634","34026","243387","40689","129564","73134","183055","34888","121110","27057","201322","33797","108479","59046","311692","1137979","2371813.2000000000","38"
"        Ивановская область","40326","13104","22908","32536","46360","86722","14.8000000000","10.2000000000","924114","149869","516959","257286","6806","6904","7351","8325","9125","10228","10519","10437","10719","10541","9947","10026","10242","10088","9647","8964","8807","8722","167398","9479","9414","9226","9112","7621","7654","6901","7735","67142","7905","7767","8501","10322","11046","45541","13054","13642","14212","15164","15364","15853","14566","15437","14066","13779","145137","14706","13788","14003","13164","13893","14681","13771","12838","13361","13072","137277","13130","12459","12038","11554","12386","13019","12654","13639","14226","14631","129736","14725","14276","14214","13801","13127","13702","13927","11967","11788","11370","11022","10993","8487","7903","6942","3743","2758","1868","3208","6039","5638","5513","5003","4479","3081","2548","2061","1534","1575","1169","1051","677","560","405","273","202","116","64","38","36","231883","414279","77559","268456","68264","509835","72310","248503","189022","333816","65375","216120","52321","423536","60628","209454","153454","466711","1839723","2514185.4000000000","135"
"        Хабаровский край","55717","18064","31607","44919","64045","119951","14.8000000000","9.8000000000","1292764","243458","764628","284678","13054","13035","14064","15037","15481","17076","18377","17773","17382","17200","15898","14661","14325","13751","13241","13103","13541","13372","270371","15069","15001","14831","14293","12738","13664","12204","13816","111616","15048","14051","14111","15452","18284","76946","22668","22970","22655","24341","24689","23589","22855","22667","21921","20674","229029","22599","20266","20208","19207","20288","19462","18486","17652","17888","17106","193162","17465","15749","14834","13841","14417","15408","14713","15736","15325","15805","153293","17249","15564","14904","14002","14223","15120","15410","14035","14265","13139","13293","12450","10313","9914","8772","5397","4081","3106","4977","5894","5731","5199","4643","4022","3073","2232","1478","1202","1163","825","721","578","427","314","229","156","92","69","40","45","258347","610097","124691","399614","85792","682667","118767","365014","198886","502610","102352","329039","71219","576207","97744","309242","169221","1097261","2931338","2698163.5000000000","113"
"        Астраханская область","36465","12038","20917","29578","41958","77832","14.5000000000","12.5000000000","957772","203640","543830","210302","10616","10800","10836","11575","12086","14077","14578","14514","14613","14835","13347","12531","12954","13553","12306","10419","10764","10810","225214","10102","10226","9269","9366","8989","9343","9328","9330","75953","10574","10046","10658","11934","13041","56253","15433","15403","16211","16903","16313","16920","16323","16518","15244","14875","160143","15159","13344","14731","13520","13154","13422","12133","12498","12495","12055","132511","11519","11319","10761","10926","11345","11964","12153","13203","12768","13109","119067","14380","12991","12670","11981","12362","11958","11492","10263","10108","9828","8736","8617","7241","5366","4790","3187","1865","2055","2596","3733","3633","3486","3197","2764","1992","1672","1057","843","1173","485","346","228","192","144","100","64","29","44","23","940","188631","449662","104228","280239","65195","508110","99412","263591","145107","284004","65420","177187","41397","331754","62480","173692","95582","705067","2637914","3372313.1000000000","103"
"        Республика Бурятия","38263","11965","21227","30468","43882","83773","15.5000000000","17.7000000000","977951","236220","554161","187570","11816","12045","12363","13351","13529","15514","16166","16279","16317","16168","15972","16006","16252","15771","14898","13773","13659","12777","262656","12349","12358","10968","10765","10320","10363","9906","10528","87557","10639","10996","11027","12664","13241","58567","15128","16354","17049","17649","17832","17444","16566","16996","16260","15046","166324","15168","14242","14128","13706","13557","12845","12462","11860","11669","10631","130268","10298","9689","9573","9501","9958","10620","10562","11287","11480","12501","105469","13012","12234","12101","11439","10904","10163","10008","9150","8623","7943","7519","7338","5730","4963","3824","2234","1539","1279","2371","3224","3577","3199","2894","2589","2119","1648","1019","924","969","635","578","440","351","198","129","95","77","31","22","18","167110","458813","121123","282929","54761","519138","115097","271232","132809","264506","68531","165931","30044","314056","65165","169236","79655","820586","2400893","3149953.3000000000","46"
"        Воронежская область","44971","12851","23584","34686","51212","102523","17.1000000000","6.9000000000","2302617","368159","1309476","624982","18521","19027","19631","21574","22601","25217","26256","25820","25559","26212","24684","23803","24039","23286","21735","20194","20629","21632","410420","21898","21417","21462","22241","19810","20693","20046","21444","169011","23693","25848","27551","31756","33059","141907","37169","37861","39930","40894","40847","39245","38882","38784","35643","34416","383671","35865","33092","32638","31937","32796","32606","31937","30223","31056","29967","322117","30503","28042","28378","27792","29213","29871","30366","33362","34561","35923","308011","38209","35981","35750","34748","33137","31723","30976","27034","27999","25581","25070","26659","21336","17856","17026","9067","6667","6541","9513","14671","14593","14444","13408","10304","8703","6557","4059","3460","4009","3029","2813","2029","1550","1100","764","460","293","198","92","71","567480","1064328","189099","684494","190735","1238289","179060","624982","434247","721287","132299","466449","122539","856213","125400","445367","285446","1609535","4949420","3561378.1000000000","173"
"        Оренбургская область","36601","11267","20109","28986","41930","80711","15.8000000000","11.6000000000","1855781","360892","1039313","455576","17384","17936","18747","20080","20581","23925","25191","25968","26159","26410","24918","25382","23965","22924","21848","19474","19789","20337","401018","20257","19427","18118","18370","17659","18656","17875","18396","148758","19169","19543","18923","19526","21984","99145","24849","27564","29002","30760","32126","32324","29415","30149","28162","27913","292264","30096","27649","26495","25701","26456","26696","24609","23452","24050","23393","258597","23347","22435","22735","21940","22969","24436","24803","27263","27879","29658","247465","30407","29138","29032","26574","25428","24949","23999","20635","20655","19795","17133","16368","14345","13266","11610","5951","4031","4330","6262","8741","9013","9466","8232","7211","5769","4042","2072","1646","1921","1539","1508","1085","834","585","396","263","147","81","37","38","408534","861284","186231","538213","136840","994497","174661","501100","318736","501823","103362","323340","75121","606907","97206","320611","189090","912871","3712638","1945770.4000000000","153"
"        Республика Карелия","52984","17118","29992","42666","60890","114251","14.9000000000","11.1000000000","532384","91510","293919","146955","4234","4096","4462","5057","5354","6190","6444","6531","6297","6606","6202","6304","6344","6116","5782","5491","5586","5789","102885","5266","4918","4441","4376","3915","4036","3869","4134","34955","4174","4288","4337","4955","5822","23576","6993","7833","8273","9117","9201","8856","8859","8934","8820","8333","85219","8419","7986","8296","8016","8389","8209","8160","7589","7487","7497","80048","7267","6616","6544","6502","6931","7088","7400","7877","7883","8889","72997","9184","8718","8650","8273","8034","8026","8111","7121","6863","6605","6216","6457","4655","4515","3687","2174","1624","1169","1724","2869","2431","2775","2535","2358","1697","1346","948","786","809","644","537","401","265","176","144","88","37","29","12","11","132704","238824","46580","151836","40408","293560","44930","142083","106547","186861","38023","119218","29620","235958","36705","117391","81862","1159048","2389624","5480804.4000000000","136"
"        Город Севастополь","39471","14463","24121","33124","45609","80036","12.3000000000","9.3000000000","547452","93079","329288","125085","4425","4808","5108","5362","5903","6556","7067","6435","6502","6544","6271","5626","5520","5921","5747","5284","5550","5023","103652","5615","5560","5152","6688","6515","5193","4888","6720","46331","7415","5618","5730","6551","7515","32829","9866","10518","9949","10231","11455","11928","9666","9773","9309","8525","101220","10715","8580","8968","7676","8732","8473","7631","6869","7096","6461","81201","8099","7121","7541","5869","6299","6845","5960","7099","6249","6337","67419","7843","6620","6921","6023","6895","6671","6579","5752","6113","5327","5497","5540","4307","4004","4001","2777","1856","1753","2159","2611","2524","2621","2180","2064","1431","1042","660","538","647","379","395","325","229","182","137","104","43","32","17","1","114800","260690","47839","172162","40689","286762","45240","157126","84396","239987","44411","157965","37611","265299","42029","145073","78197","286913","1685366","2822435.3000000000","66"
"        Нижегородская область","50283","14110","26069","38528","57166","115541","17.4000000000","7.5000000000","3108918","543407","1740931","824580","26017","27579","28603","31912","34166","38482","40067","38486","38287","38387","36135","34478","34793","34037","31984","29994","29627","29826","602860","29993","29452","26998","28328","25838","28302","26696","28595","224202","30448","30366","30126","34120","39070","164130","47198","50243","52242","55848","56274","55028","51546","53286","48470","47529","517664","49837","46119","47411","44338","45214","45891","43125","40932","41620","41366","445853","42541","39061","37208","36347","37981","40167","40282","42882","44098","47028","407595","50808","49370","49656","46868","44802","43959","42430","37599","36680","34854","34738","33950","26094","24568","22036","13142","9557","7730","10475","16741","16198","16182","15288","14232","10099","8684","6481","4765","5048","3399","2982","2115","1752","1153","820","553","372","198","113","123","746614","1408266","279365","899280","229621","1700652","264042","841651","594959","1108979","228055","707637","173287","1376284","215562","692182","468540","2504365","8890460","9077501.1000000000","420"
