region,num_sessions,installs,orders,revenue,revenue_quartile,region_russian,revenue_per_order,gmv,conversion,avg_check,rich_hotel_count,not_rich_hotel_count,tour_count,nature_feat,nature_feat_rating_mean,not_rich_hotel_feat_rating_mean,rich_hotel_feat_rating_mean,tour_feat_rating_mean,nature_feat_rating_std,not_rich_hotel_feat_rating_std,rich_hotel_feat_rating_std,tour_feat_rating_std,средний доход,20тый персентиль дохода,40ой персентиль дохода,60тый персентиль дохода,80тый персентиль дохода,доля населения с доходом ниже медианы по региону,население с доходом ниже границы бедности,население,моложе трудоспособного возраста,в трудоспособном возрасте,старше трудоспособного возраста,моложе 18,Возраст от 18 до 25,Возраст от 25 до 30,Возраст от 31 до 40,Возраст от 41 до 50,Возраст от 51 до 60,Старше 60,мужчины,мужчины моложе трудоспособного возраста,мужчины трудоспособного возраста,мужчины старше трудоспособного возраста,женщины,мужчины моложе трудоспособного возраста.1,женщины трудоспособного возраста,женщины старше трудоспособного возраста,городские мужчины,городские мужчины моложе трудоспособного возраста,городские мужчины в трудоспособном возрасте,городские мужчины в трудоспособном возрасте.1,городские женщины,городские женщины моложе трудоспособного возраста,городские женщины в трудоспо-собном возрасте,городские женщины старше трудоспо-собного возраста,оценка туристского потока (число поездок),оценка туристского потока (число ночевок),доход от гостиниц/отелей/хостелов в год (тыс),число турфирм
Rostov Oblast,0.266369038586438,0.326066712083049,0.201884057971014,0.248302867231833,Very High,Ростовская область,1.4433428536709525,0.0501283904426003,0.7579111260166285,1.2299280573579698,1262.0,27.0,227.0,364.0,4.601648351648351,4.444444444444445,4.4239302694136295,4.726872246696035,0.8515728617168954,1.219499687240422,1.1008602021446254,0.7557042056510836,46747,13225,24360,35924,53186,17.2,10.2,4192322,710490,2423911,1057921,793176,327824,247336,715980,604162,542017,961827,1954601,365651,1257722,331228,2237721,344839,1166189,726693,1307033,242079,847168,217786,1538400,228433,815630,494337,3394620,7422890,6193880.9,309
Perm Krai,0.264560204434678,0.237187580077624,0.15463768115942,0.174871187138874,Very High,Пермский край,1.3629232392442017,0.0270416748807504,0.5845084731842248,1.1308446028661976,301.0,9.0,123.0,51.0,4.627450980392157,4.777777777777778,4.3887043189368775,4.67479674796748,0.9156589826725994,0.4409585518440984,1.0886101149085856,0.8444217631537563,44936,13165,23938,34971,51282,16.6,10.6,2525149,511793,1413072,600284,568153,193268,131667,414551,363159,313086,541265,1156657,264010,722604,170043,1368492,247783,690468,430241,859148,195984,541121,122043,1051609,183876,539205,328528,1344055,5817611,7082263.8,451
Voronezh Oblast,0.217284685001851,0.211892425672339,0.182246376811594,0.192209818407371,Very High,Воронежская область,1.2504052115809303,0.0350295429923577,0.838744694823022,1.0546701765493929,1280.0,42.0,223.0,444.0,4.740990990990991,4.261904761904762,4.47421875,4.690582959641255,0.7348376518908699,1.4323700947274256,1.0384135742433225,0.7816885863402537,44971,12851,23584,34686,51212,17.1,6.9,2302617,368159,1309476,624982,410420,169011,141907,383671,322117,308011,567480,1064328,189099,684494,190735,1238289,179060,624982,434247,721287,132299,466449,122539,856213,125400,445367,285446,1609535,4949420,3561378.1,173
Khabarovsk,0.214425755855948,0.188987881325741,0.202028985507246,0.203170379754964,Very High,Хабаровский край,1.1800634006113044,0.0410463057070172,0.94218618794549,1.0056496558889916,148.0,7.0,25.0,16.0,4.5,4.142857142857143,4.29054054054054,4.92,0.7302967433402214,1.5735915849388864,1.0895507304681373,0.3999999999999999,55717,18064,31607,44919,64045,14.8,9.8,1292764,243458,764628,284678,270371,111616,76946,229029,193162,153293,258347,610097,124691,399614,85792,682667,118767,365014,198886,502610,102352,329039,71219,576207,97744,309242,169221,1097261,2931338,2698163.5,113
Volgograd Oblast,0.153322974014701,0.163356791520053,0.0887681159420289,0.0944764147564752,Very High,Волгоградская область,1.355940714990593,0.00838649333889,0.5789616103684343,1.0643057335831505,619.0,12.0,136.0,130.0,4.661538461538462,3.5833333333333335,4.319870759289176,4.654411764705882,0.7830950931182186,1.6764862244009227,1.1690905862266587,0.8289098281887927,35472,12017,20671,29022,40869,14.0,9.4,2492808,409110,1454545,629153,452843,197371,144460,420125,371126,334569,572314,1167543,210026,758925,198592,1325265,199084,695620,430561,893090,158406,585137,149547,1038141,150636,554918,332587,1425779,3831696,3084192.9,160
Irkutsk Oblast,0.149301656479328,0.164614596158774,0.0744202898550724,0.0784919145963214,Very High,Иркутская область,1.3676168082955722,0.0058413910355378,0.4984558886349428,1.0547112185289544,444.0,23.0,93.0,25.0,4.88,3.869565217391304,4.490990990990991,4.731182795698925,0.33166247903554,1.632186147641671,0.9655043056624552,0.8487815428759519,42268,13184,23412,33628,48466,15.5,13.9,2363447,518049,1331387,514011,571213,192128,129966,398675,334670,275003,461792,1086116,266202,676251,143663,1277331,251847,655136,370348,827373,199041,519942,108390,1007141,188375,519697,299069,1553341,4485123,8179680.4,255
Krasnoyarsk Krai,0.141729439686306,0.120696120649245,0.0654347826086956,0.0941656747076305,Very High,Красноярский край,1.8901796893899936,0.0061617104536949,0.4616880074706029,1.439076756329238,357.0,16.0,67.0,56.0,4.392857142857143,4.6875,4.523809523809524,4.8059701492537314,1.1548879745526115,1.0144785195688801,0.9134568540938672,0.6089933564385911,50368,14224,26218,38682,57297,17.3,14.0,2856326,569281,1659215,627830,630531,226180,180493,501491,413040,341217,563374,1328198,292589,849514,186095,1528128,276692,809701,441735,1043692,223934,681628,138130,1224776,212052,670861,341863,1714776,5743501,6702484.3,345
Stavropol Kray,0.139586760305195,0.164739595377528,0.0766666666666666,0.0901287934210246,Very High,Ставропольский край,1.5198345663392263,0.0069098741622785,0.549240246704209,1.1755929576655393,1423.0,32.0,383.0,311.0,4.720257234726688,4.71875,4.529163738580464,4.749347258485639,0.6831199285942777,0.9913944236406651,0.9585427967194242,0.7622255523848785,32171,11298,19162,26634,37123,13.2,11.2,2902455,535490,1709004,657961,598960,250429,199558,495815,405327,353111,599255,1368613,275617,881232,211764,1533842,259873,827772,446197,818728,157785,535412,125531,939902,148008,524993,266901,2581145,17392190,36108967.6,177
Saratov Oblast,0.109744031757786,0.166773957662764,0.058695652173913,0.0707327773915678,High,Саратовская область,1.600126013592538,0.0041517064990702,0.5348414053482113,1.2050769481526376,382.0,9.0,66.0,86.0,4.558139534883721,4.222222222222222,4.340314136125654,4.606060606060606,0.7911964307715649,1.3944333775567925,1.2034063227771026,0.92617971139993,32979,10503,18504,26427,37867,15.1,12.9,2431012,394826,1397115,639071,441261,188329,144071,396812,349536,332504,578499,1128282,203517,727630,197135,1302730,191309,669485,441936,852298,154175,551272,146851,1009923,144879,528586,336458,814242,3183412,4479632.3,124
Tyumen Oblast,0.105762168658609,0.0886494459409628,0.0510869565217391,0.0603531766511343,High,Тюменская область,1.5905931221605252,0.0030832601115253,0.4830362044356646,1.1813813301924168,400.0,15.0,74.0,74.0,4.77027027027027,4.866666666666666,4.49,4.824324324324325,0.562462718333397,0.3518657752744984,0.9311646842384715,0.5063462486380355,68855,16207,31901,49359,76751,20.0,10.3,3827679,856166,2284581,686932,944760,301771,228920,708252,569356,471721,602899,1816225,438373,1171481,206371,2011454,417793,1113100,480561,1457103,351739,949576,155788,1636819,335607,922860,378352,2922993,7775449,14869598.2,530
