region,num_sessions,installs,orders,revenue,revenue_quartile,region_russian,revenue_per_order,gmv,conversion,avg_check,rich_hotel_count,not_rich_hotel_count,tour_count,nature_feat,nature_feat_rating_mean,not_rich_hotel_feat_rating_mean,rich_hotel_feat_rating_mean,tour_feat_rating_mean,nature_feat_rating_std,not_rich_hotel_feat_rating_std,rich_hotel_feat_rating_std,tour_feat_rating_std,средний доход,20тый персентиль дохода,40ой персентиль дохода,60тый персентиль дохода,80тый персентиль дохода,доля населения с доходом ниже медианы по региону,население с доходом ниже границы бедности,население,моложе трудоспособного возраста,в трудоспособном возрасте,старше трудоспособного возраста,моложе 18,Возраст от 18 до 25,Возраст от 25 до 30,Возраст от 31 до 40,Возраст от 41 до 50,Возраст от 51 до 60,Старше 60,мужчины,мужчины моложе трудоспособного возраста,мужчины трудоспособного возраста,мужчины старше трудоспособного возраста,женщины,мужчины моложе трудоспособного возраста.1,женщины трудоспособного возраста,женщины старше трудоспособного возраста,городские мужчины,городские мужчины моложе трудоспособного возраста,городские мужчины в трудоспособном возрасте,городские мужчины в трудоспособном возрасте.1,городские женщины,городские женщины моложе трудоспособного возраста,городские женщины в трудоспо-собном возрасте,городские женщины старше трудоспо-собного возраста,оценка туристского потока (число поездок),оценка туристского потока (число ночевок),доход от гостиниц/отелей/хостелов в год (тыс),число турфирм
Murmansk,0.0671544853624041,0.0516293648164698,0.0423188405797101,0.0508643898568301,High,Мурманская область,1.6490229598777668,0.0021525220055354,0.6301714673462744,1.2019325000415344,362.0,13.0,71.0,32.0,4.59375,4.923076923076923,4.56353591160221,4.830985915492958,1.042929342239073,0.2773500981126146,0.9101439325354872,0.5851963160941988,73313,24705,42585,59877,84446,14.1,7.0,665240,127773,397484,139983,141288,50679,36683,118623,106824,86818,124325,313983,65857,213176,34950,351257,61916,184308,105033,289062,61006,195099,32957,330148,57333,173101,99714,748734,2472395,3866254.4,112
Vologda Oblast,0.066766010913704,0.0524809219942375,0.0626086956521739,0.0820307304961796,Very High,Вологодская область,1.7285361129263808,0.0051358370397608,0.9377330590125642,1.310213056536202,555.0,7.0,134.0,58.0,4.379310344827586,4.428571428571429,4.481081081081081,4.656716417910448,1.0732404810043952,1.5118578920369088,0.9599858521740205,0.8326466328624328,42704,14042,24436,34593,49126,14.5,10.5,1138424,220736,630828,286860,244965,79166,60196,186226,161755,148817,257299,522210,112606,328319,81285,616214,108130,302509,205575,369359,84626,233303,51430,455622,81658,231072,142892,904547,2564029,3415530.7,106
Vologda Oblast,0.066766010913704,0.0524809219942375,0.0626086956521739,0.0820307304961796,Very High,Вологодская область,1.7285361129263808,0.0051358370397608,0.9377330590125642,1.310213056536202,1.0,0.0,0.0,0.0,,,3.0,,,,,,42704,14042,24436,34593,49126,14.5,10.5,1138424,220736,630828,286860,244965,79166,60196,186226,161755,148817,257299,522210,112606,328319,81285,616214,108130,302509,205575,369359,84626,233303,51430,455622,81658,231072,142892,904547,2564029,3415530.7,106
Tula Oblast,0.0666810321280508,0.0700058124636721,0.0434057971014492,0.0580133050285578,High,Тульская область,1.8290479811978888,0.002518113747254,0.6509466892788186,1.3365335716095144,493.0,5.0,319.0,119.0,4.831932773109243,4.2,4.533468559837728,4.7492163009404385,0.5259265871804367,1.7888543819998317,0.9485737783284286,0.6866592722824263,42341,13816,24115,34211,48688,14.7,9.1,1496690,218970,844078,433642,244623,99170,79134,243375,229770,204951,395667,676671,112301,440135,124235,820019,106669,403943,309407,487727,82721,316849,88157,609369,78309,300486,230574,1799648,6171476,2810307.8,200
Tula Oblast,0.0666810321280508,0.0700058124636721,0.0434057971014492,0.0580133050285578,High,Тульская область,1.8290479811978888,0.002518113747254,0.6509466892788186,1.3365335716095144,0.0,0.0,1.0,1.0,5.0,,,5.0,,,,,42341,13816,24115,34211,48688,14.7,9.1,1496690,218970,844078,433642,244623,99170,79134,243375,229770,204951,395667,676671,112301,440135,124235,820019,106669,403943,309407,487727,82721,316849,88157,609369,78309,300486,230574,1799648,6171476,2810307.8,200
Vladimir Oblast,0.0643350106526977,0.0747307829326066,0.039927536231884,0.0475640133930351,High,Владимирская область,1.6439126183465034,0.0018991138680842,0.620619097235041,1.191258411658594,758.0,14.0,174.0,51.0,4.294117647058823,4.642857142857143,4.596306068601583,4.781609195402299,1.1540211028756593,0.9287827316640649,0.89948587766072,0.6614974666709359,38619,13529,22969,31946,44559,13.3,9.8,1342235,219772,749208,373255,245713,97164,71619,214455,194152,182106,337026,609524,113064,392503,103957,732711,106708,356705,269298,466521,90409,300475,75637,575145,85537,283398,206210,1134860,3251101,3939690.8,170
Tver Oblast,0.0627507632915925,0.07617608639946,0.0433333333333333,0.0481592261735315,High,Тверская область,1.521161036339464,0.002086899800853,0.6905626491262012,1.1113667578507278,706.0,6.0,172.0,40.0,4.6,5.0,4.536827195467422,4.5813953488372094,0.8101914936669333,0.0,0.9817790285376743,0.9361500889195538,41193,14133,24191,33844,47487,13.7,9.3,1226038,203815,679665,342558,226048,85427,62559,198592,175949,167699,309764,558561,104241,357774,96546,667477,99574,321891,246012,417750,81368,267743,68639,518255,77730,253788,186737,3169682,9298718,7258510.6,144
Sakha,0.0616703187311453,0.0550121561740239,0.0393478260869565,0.0413179975279122,High,Республика Саха (Якутия),1.451197253621531,0.0016257733809895,0.6380350693255734,1.050070655405504,30.0,1.0,8.0,2.0,4.0,5.0,4.3,4.5,1.4142135623730951,,1.1188047809743373,1.4142135623730951,69031,18010,34173,51484,77904,18.5,15.2,997833,239899,600232,157702,266842,103164,73454,172725,129901,114790,136957,482710,122227,313130,47353,515123,117672,287102,110349,321712,76645,216175,28892,346713,73808,201718,71187,245878,673349,1088147.2,27
Belgorod Oblast,0.061603549685275,0.0784573221417366,0.0485507246376811,0.0670651743091616,High,Белгородская область,1.8693118960321184,0.0032560628106621,0.7881156992692924,1.3813423962185545,95.0,1.0,39.0,59.0,4.627118644067797,5.0,4.4,4.717948717948718,0.7167528570537277,,1.1705608766559072,0.8255370803211417,47184,14379,25761,37236,54014,16.0,6.0,1536466,258850,873576,404040,288067,111189,92234,253902,218471,208349,364254,712397,133185,456410,122802,824069,125665,417166,281238,455190,87356,295691,72143,548158,84686,286899,176573,582672,2112727,2078867.4,112
Arkhangelskaya,0.0598887991890595,0.0452278423259854,0.0342028985507246,0.0433980955648605,High,Архангельская область,1.7782854224733546,0.0014843406598995,0.5711067681078634,1.2688426245658382,95.0,2.0,30.0,12.0,4.416666666666667,5.0,4.7368421052631575,4.766666666666667,0.7929614610987593,0.0,0.5872859739765315,0.8172001541568767,56617,16988,30613,44436,64736,16.2,10.0,1016030,185226,564960,265844,208029,71419,46164,164970,152644,132057,240747,470354,96112,296943,77299,545676,89114,268017,188545,359422,74758,230909,53755,427627,71141,217644,138842,774444,2702607,1703219.0,175
Kaluga Oblast,0.0590420462891585,0.0527668577071393,0.0337681159420289,0.0408745930788236,Medium,Калужская область,1.698618809186779,0.0013802579981689,0.5719333604504409,1.2104493229351223,703.0,6.0,351.0,206.0,4.640776699029126,4.333333333333333,4.588904694167852,4.800569800569801,0.8006627612237963,1.2110601416389966,0.9044000203929482,0.6929025617747132,44538,15370,26249,36663,51357,13.6,7.5,1073252,178914,617757,276581,199223,80722,61480,184846,155136,141361,250484,509427,91593,333633,84201,563825,87321,284124,192380,377917,69162,246940,61815,427401,66374,215657,145370,771936,2422663,2948772.1,133
Ulyanovsk Oblast,0.0565139274159772,0.0567168330197936,0.0302173913043478,0.0359557334373782,Medium,Ульяновская область,1.688439433849824,0.001086488466912,0.5346892825538252,1.189901969870071,200.0,1.0,24.0,61.0,4.442622950819672,5.0,4.49,4.708333333333333,1.072762635502909,,0.9873063705591762,0.9078961186825509,35749,11849,20557,29037,41143,14.4,12.4,1191661,201949,660923,328789,223495,83486,68132,189913,160361,171492,294782,548113,103864,347853,96396,643548,98085,313070,232393,416135,82646,265117,68372,498571,77872,249250,171449,714632,2597172,2066797.4,84
Ivanovo Oblast,0.0540859621116014,0.0531684176973893,0.0305797101449275,0.0288602279071411,Medium,Ивановская область,1.337590129611351,0.0008825374041169,0.5653908879688427,0.9437704860629093,162.0,0.0,65.0,34.0,4.411764705882353,,4.5,4.769230769230769,0.7830649595262129,,1.0169373091214764,0.65596376541579,40326,13104,22908,32536,46360,14.8,10.2,924114,149869,516959,257286,167398,67142,45541,145137,137277,129736,231883,414279,77559,268456,68264,509835,72310,248503,189022,333816,65375,216120,52321,423536,60628,209454,153454,466711,1839723,2514185.4,135
Komi,0.0529842728547409,0.0491559427753576,0.0218115942028985,0.0286750288725113,Medium,Республика Коми,1.9272928655994268,0.0006254480935236,0.4116616691654163,1.3146690978094913,49.0,7.0,15.0,12.0,4.416666666666667,4.142857142857143,4.510204081632653,4.066666666666666,1.2401124093721454,1.864454471471609,1.1387575279588684,1.667618775665584,54576,16328,29456,42791,62388,16.3,11.7,734363,138514,425682,170167,154740,50069,37513,126832,114171,99461,151577,339964,70418,222128,47418,394399,68096,203554,122749,260508,54415,171984,34109,308945,52864,164079,92002,273509,1049828,1453930.7,102
Tomsk Oblast,0.0528719794594135,0.0361544615346154,0.0246376811594202,0.0318199304370611,Medium,Томская область,1.8704211822861816,0.0007839693006232,0.4659874930223295,1.2915148236218963,100.0,6.0,23.0,35.0,4.628571428571429,4.833333333333333,4.49,4.695652173913044,0.9102589898327996,0.408248290463863,0.926544574472728,0.8221248859286777,41213,13489,23516,33333,47398,14.6,11.6,1062726,201526,622135,239065,224313,97556,61155,189366,149671,123255,217410,497416,103281,319800,74335,565310,98245,302335,164730,352007,70842,231668,49497,406894,67219,225538,114137,408767,1494806,2116057.9,120
Ryazan Oblast,0.0517429755928787,0.0519746751582802,0.0331884057971014,0.0345713569702813,Medium,Рязанская область,1.464304495649035,0.0011473682240861,0.6414089142888232,1.0416697078381716,174.0,1.0,33.0,25.0,3.8,5.0,4.511494252873563,4.878787878787879,1.5275252316519465,,0.9106848451852138,0.41514875026728065,39492,12686,22276,31739,45369,15.0,10.9,1098579,174458,612415,311706,194329,77352,56950,173988,159951,152707,283302,497369,89681,318813,88875,601210,84777,293602,222831,347925,65093,224097,58735,436072,61270,217730,157072,1168812,3420867,2908260.8,94
Penza Oblast,0.0484530826054495,0.0435216029899813,0.0244927536231884,0.0313888138963889,Medium,Пензенская область,1.85709247344027,0.0007687984852883,0.5054942287703633,1.2815551235803757,92.0,0.0,29.0,11.0,4.545454545454546,,4.5978260869565215,4.413793103448276,0.5222329678670935,,0.9951506883376033,1.0527936095153947,35210,11435,19995,28403,40477,14.8,10.7,1261103,200206,705997,354900,224421,89103,67406,202707,179452,175949,322065,575307,102268,367781,105258,685796,97938,338216,249642,387662,71021,248167,68474,479330,68447,241484,169399,424217,2200011,2339266.2,104
Kursk Oblast,0.047803601886529,0.0617402391235054,0.0307971014492753,0.0357423856402375,Medium,Курская область,1.6437005795701107,0.0011007618766015,0.6442422795332059,1.1605762866712437,37.0,0.0,15.0,13.0,4.384615384615385,,4.486486486486487,4.8,0.9607689228305225,,0.9609492304088825,0.7745966692414834,42670,13660,24018,34253,49010,15.1,7.7,1078156,183564,600971,293621,204178,77689,57716,170248,152339,150924,265062,489402,94198,310259,84945,588754,89366,290712,208676,327698,65901,207800,53997,410496,62752,208895,138849,371386,1995625,1525902.2,76
Dagestan,0.0455971884161775,0.180173873913288,0.0177536231884057,0.0171956396239056,Low,Республика Дагестан,1.449447992497796,0.0003052849063664,0.3893578486981198,0.9685707216730554,731.0,12.0,200.0,104.0,4.355769230769231,4.666666666666667,4.58686730506156,4.745,1.0695999545313113,1.1547005383792515,0.9135463984352187,0.6496810195285669,39646,11707,21223,30941,45274,16.5,12.7,3186902,811054,1953845,422003,906087,349171,259716,540579,395714,367845,367790,1572559,420888,1008402,143269,1614343,390166,945443,278734,711196,175951,473136,62109,730066,158735,457530,113801,1094062,3651179,3661288.4,73
Kirov Oblast,0.0433118660734338,0.0369560190248811,0.0251449275362318,0.0280874534997076,Medium,Кировская область,1.614421524418668,0.0007062569829274,0.5805551645731317,1.1170226463860695,593.0,30.0,183.0,108.0,4.601851851851852,4.8,4.54637436762226,4.814207650273224,0.7964854436580464,0.6102571532587293,0.9217480316965512,0.5821665678209326,38005,12802,22071,31036,43775,14.1,10.6,1149176,198538,617040,333598,220168,69903,51105,181791,166936,155666,303607,525107,101719,323981,99407,624069,96819,293059,234191,403709,82753,251843,69113,491945,78704,240376,172865,733738,2979440,2786766.9,135
Kirov Oblast,0.0433118660734338,0.0369560190248811,0.0251449275362318,0.0280874534997076,Medium,Кировская область,1.614421524418668,0.0007062569829274,0.5805551645731317,1.1170226463860695,3.0,0.0,0.0,0.0,,,5.0,,,,0.0,,38005,12802,22071,31036,43775,14.1,10.6,1149176,198538,617040,333598,220168,69903,51105,181791,166936,155666,303607,525107,101719,323981,99407,624069,96819,293059,234191,403709,82753,251843,69113,491945,78704,240376,172865,733738,2979440,2786766.9,135
Chuvashia,0.0423103303853787,0.0385950712808044,0.0205072463768115,0.024567259407432,Medium,Чувашия,1.7670898305825644,0.0005038068414712,0.4846865101270456,1.19797943400199,200.0,3.0,39.0,33.0,4.242424242424242,5.0,4.535,4.6923076923076925,1.225517825000493,0.0,1.0217607229064796,0.8930682225913256,32313,10613,18477,26166,37170,14.6,13.9,1183908,231514,664025,288369,255742,86261,62581,188179,165256,167838,258051,548713,119000,344807,84906,635195,112514,319218,203463,336956,81638,209678,45640,421106,77308,222922,120876,670040,2289308,2595568.0,89
Astrakhan Oblast,0.0407655374604696,0.0516590521309241,0.0221739130434782,0.0271063454819376,Medium,Астраханская область,1.7891402876187148,0.0006010537476429,0.5439377087811065,1.222443031538366,142.0,0.0,5.0,6.0,4.666666666666667,,4.661971830985915,5.0,0.5163977794943223,,0.8742763892926755,0.0,36465,12038,20917,29578,41958,14.5,12.5,957772,203640,543830,210302,225214,75953,56253,160143,132511,119067,188631,449662,104228,280239,65195,508110,99412,263591,145107,284004,65420,177187,41397,331754,62480,173692,95582,705067,2637914,3372313.1,103
Yamalo-Nenets,0.0402556647465507,0.0258560883994475,0.0213768115942028,0.0302330501394743,Medium,Ямало-Ненецкий автономный округ,2.0775177440536017,0.0006462862167496,0.5310261730564136,1.4142918370330415,5.0,1.0,1.0,0.0,,5.0,3.8,5.0,,,1.6431676725154984,,139638,29742,60609,96180,153479,21.4,4.0,511244,118576,329920,62748,131730,40492,33263,99404,87889,65964,52502,249206,60586,169908,18712,262038,57990,160012,44036,210696,48146,146245,16305,222313,46148,137928,38237,318734,703114,2475212.7,39
Yamalo-Nenets,0.0402556647465507,0.0258560883994475,0.0213768115942028,0.0302330501394743,Medium,Ямало-Ненецкий автономный округ,2.0775177440536017,0.0006462862167496,0.5310261730564136,1.4142918370330415,156.0,10.0,26.0,27.0,4.666666666666667,4.2,4.314102564102564,4.923076923076923,0.8770580193070293,1.0327955589886444,1.1957154002708987,0.271746488194703,139638,29742,60609,96180,153479,21.4,4.0,511244,118576,329920,62748,131730,40492,33263,99404,87889,65964,52502,249206,60586,169908,18712,262038,57990,160012,44036,210696,48146,146245,16305,222313,46148,137928,38237,318734,703114,2475212.7,39
Bryansk Oblast,0.0388929692194698,0.0416200523746726,0.021231884057971,0.0241580675560992,Medium,Брянская область,1.6725334184652092,0.0005129212894157,0.5459054549978233,1.1378202466695195,80.0,0.0,12.0,8.0,4.0,,4.45,4.916666666666667,1.1952286093343936,,1.2314445566904473,0.28867513459481287,40161,12749,22488,32146,46104,15.2,11.4,1164635,200373,659068,305194,223666,83589,67801,184970,165684,163616,275309,533625,102837,344015,86773,631010,97536,315053,218421,363213,72306,231843,59064,446427,68664,222849,154914,582488,2520420,1728119.8,98
Karelia,0.0384043412019642,0.0297670014562408,0.0267391304347826,0.0251926248247349,Medium,Республика Карелия,1.3533540014420151,0.0006736288811831,0.6962528088729464,0.9421632048274844,672.0,13.0,134.0,63.0,4.523809523809524,4.769230769230769,4.583333333333333,4.813432835820896,1.0603885906278137,0.5991446895152781,0.9259733939369879,0.6272977066340102,52984,17118,29992,42666,60890,14.9,11.1,532384,91510,293919,146955,102885,34955,23576,85219,80048,72997,132704,238824,46580,151836,40408,293560,44930,142083,106547,186861,38023,119218,29620,235958,36705,117391,81862,1159048,2389624,5480804.4,136
Pskov Oblast,0.0368109889709676,0.0275107655577152,0.0297826086956521,0.0328141050475538,Medium,Псковская область,1.5656747765992105,0.0009772896503293,0.8090684202790992,1.1017874687499842,420.0,4.0,157.0,62.0,4.580645161290323,4.75,4.519047619047619,4.821656050955414,0.9503819266229829,0.5,0.9176701055106989,0.5371241645282799,38716,12411,21810,31093,44472,15.0,13.1,596899,98042,330426,168431,109669,44292,29791,93976,84576,82654,151941,271322,50416,173774,47132,325577,47626,156652,121299,188089,36847,121118,30124,235128,35084,115805,84239,1587931,4638187,2611635.8,68
Amur Oblast,0.0362343472111783,0.0307623077355766,0.024927536231884,0.0244038176225103,Medium,Амурская область,1.4161539854793548,0.0006083270479814,0.687953230855884,0.978990358112334,93.0,3.0,11.0,10.0,3.6,4.0,4.010752688172043,4.7272727272727275,1.6465452046971292,1.0,1.347256662354653,0.6466697906828632,53913,14950,27742,41130,61224,17.6,11.9,763570,154011,448161,161398,172916,67450,43799,130473,113919,88978,146035,361556,78977,233348,49231,402014,75034,214813,112167,242519,52174,158863,31482,277979,49825,152747,75407,523275,1596606,2045945.5,59
Tambov Oblast,0.0332297401470133,0.0414606783707601,0.019927536231884,0.0223124237119496,Medium,Тамбовская область,1.6563334796772071,0.000444631631941,0.599689800272937,1.1196779899087468,110.0,0.0,42.0,25.0,4.96,,4.6,4.571428571428571,0.2,,0.9005604778758208,1.1292746893656176,38945,12549,22009,31333,44750,14.9,10.3,979171,138830,552146,288195,156543,70265,52831,150883,142041,144000,262608,451735,71456,291728,88551,527436,67374,260418,199644,265509,43024,171381,51104,324138,40835,165059,118244,330484,1297627,1068648.3,53
Buryatiya Republic,0.0308381943222031,0.0339904125599215,0.0132608695652173,0.0154662492957194,Low,Бурятия,1.7970319659674974,0.0002050959145736,0.4300144628010741,1.166307323939504,202.0,8.0,22.0,32.0,4.3125,5.0,4.51980198019802,4.409090909090909,1.229673442094912,0.0,1.04243494154755,1.0537502599713133,38263,11965,21227,30468,43882,15.5,17.7,977951,236220,554161,187570,262656,87557,58567,166324,130268,105469,167110,458813,121123,282929,54761,519138,115097,271232,132809,264506,68531,165931,30044,314056,65165,169236,79655,820586,2400893,3149953.3,46
Sakhalin Oblast,0.0294724638384917,0.0180030124811719,0.0205797101449275,0.0300304328821375,Medium,Сахалинская область,2.151683618748596,0.000618017604241,0.6982690777976267,1.4592252597658388,12.0,0.0,0.0,1.0,5.0,,4.333333333333333,,,,1.3706888336846839,,43127,15148,25691,35706,49765,13.2,18.3,149580,30337,86408,32835,33622,12075,8900,25125,22666,17461,29731,70237,15526,45004,9707,79343,14811,41404,23128,47908,10667,30370,6871,57969,10247,30451,17271,60521,242823,398395.9,5
Sakhalin Oblast,0.0294724638384917,0.0180030124811719,0.0205797101449275,0.0300304328821375,Medium,Сахалинская область,2.151683618748596,0.000618017604241,0.6982690777976267,1.4592252597658388,12.0,0.0,0.0,1.0,5.0,,4.333333333333333,,,,1.3706888336846839,,87016,23149,43614,65373,98406,18.2,6.3,466009,82651,276198,107160,91629,35087,26180,81153,75752,58359,97849,222622,41962,146634,34026,243387,40689,129564,73134,183055,34888,121110,27057,201322,33797,108479,59046,311692,1137979,2371813.2,38
Sakhalin Oblast,0.0294724638384917,0.0180030124811719,0.0205797101449275,0.0300304328821375,Medium,Сахалинская область,2.151683618748596,0.000618017604241,0.6982690777976267,1.4592252597658388,65.0,2.0,16.0,11.0,4.909090909090909,4.5,4.369230769230769,4.6875,0.30151134457776363,0.7071067811865476,0.9932464253841852,1.0144785195688801,43127,15148,25691,35706,49765,13.2,18.3,149580,30337,86408,32835,33622,12075,8900,25125,22666,17461,29731,70237,15526,45004,9707,79343,14811,41404,23128,47908,10667,30370,6871,57969,10247,30451,17271,60521,242823,398395.9,5
Sakhalin Oblast,0.0294724638384917,0.0180030124811719,0.0205797101449275,0.0300304328821375,Medium,Сахалинская область,2.151683618748596,0.000618017604241,0.6982690777976267,1.4592252597658388,65.0,2.0,16.0,11.0,4.909090909090909,4.5,4.369230769230769,4.6875,0.30151134457776363,0.7071067811865476,0.9932464253841852,1.0144785195688801,87016,23149,43614,65373,98406,18.2,6.3,466009,82651,276198,107160,91629,35087,26180,81153,75752,58359,97849,222622,41962,146634,34026,243387,40689,129564,73134,183055,34888,121110,27057,201322,33797,108479,59046,311692,1137979,2371813.2,38
Kostroma Oblast,0.0273055048043363,0.0301029368566446,0.0183333333333333,0.0210386825310411,Medium,Костромская область,1.7117997633865512,0.0003857091797357,0.671415286577007,1.147564501693153,338.0,5.0,128.0,29.0,4.586206896551724,5.0,4.556213017751479,4.734375,0.682288239221013,0.0,0.9203146679369756,0.8275223906859648,43636,14280,24896,35291,50185,14.6,9.5,577996,107714,307707,162575,120716,36905,25641,88444,80620,78735,146935,262672,55082,160375,47215,315324,52632,147332,115360,190698,41522,117654,31522,235848,39967,114021,81860,454685,1203106,2283873.1,66
North Ossetia–Alania,0.0265133811237837,0.0283982600108749,0.0113043478260869,0.016104134876411,Low,Северная Осетия - Алания,2.230320807390635,0.0001820467420811,0.4263638716356092,1.4245965467594417,237.0,15.0,28.0,11.0,4.636363636363637,4.6,4.472573839662447,4.714285714285714,0.6741998624632424,1.0555973258234954,1.047741173963218,0.8544932592822077,34561,11149,19546,27816,39715,14.9,12.3,685393,137242,399059,149092,152768,66923,44863,106938,92491,87654,133756,319827,70571,203746,45510,365566,66671,195313,103582,197724,42578,126833,28313,235508,40361,126095,69052,354239,820637,1168706.9,22
Kurgan Oblast,0.0249534134157222,0.0248982818857382,0.0113768115942029,0.0143020991538372,Low,Курганская область,1.9668768194100288,0.0001627122874748,0.455922057822951,1.2571271867704037,34.0,0.0,2.0,3.0,4.666666666666667,,4.205882352941177,5.0,0.5773502691896257,,1.273968073542825,0.0,33596,10792,18950,27000,38596,15.0,15.5,772332,153408,399807,219117,170003,50384,33386,109378,105886,105094,198201,351758,78869,208307,64582,420574,74539,191500,154535,219448,49841,132970,36637,274784,47458,132770,94556,320969,1182909,1248823.9,65
Oryol oblast,0.0247864908010464,0.0289779438878507,0.015,0.0155723484082441,Low,Орловская область,1.57998777584818,0.0002335852261236,0.6051683604750839,1.0381565605496066,33.0,0.0,6.0,6.0,4.0,,4.333333333333333,4.666666666666667,0.6324555320336759,,1.1902380714238086,0.5163977794943221,48401,13445,24934,36949,54974,17.5,10.9,710023,116682,396230,197111,130126,49974,40652,111118,101534,97562,179057,322887,60039,204803,58045,387136,56643,191427,139066,211446,38299,135952,37195,261869,36513,132651,92705,367136,1275464,730051.1,76
Novgorod Oblast,0.0240095419036462,0.0257639014756157,0.0169565217391304,0.0142264857569552,Low,Новгородская область,1.2613255273527495,0.0002412317150092,0.706240952333843,0.8389978779742827,422.0,12.0,118.0,18.0,4.444444444444445,4.416666666666667,4.601895734597156,4.88135593220339,1.1490262999202832,0.6685579234215215,0.7784485505622701,0.5573056600512791,38889,12984,22462,31664,44774,14.2,11.6,581578,103944,318097,159537,115946,41855,28963,92102,81927,77622,143163,261063,53836,164076,43151,320515,50108,154021,116386,186511,40749,117760,28002,238272,37888,117173,83211,2413687,7899208,3049016.1,64
Mordoviya Republic,0.0238395843323398,0.0256482771982675,0.0107246376811594,0.0132534769561833,Low,Республика Мордовия,1.9449522136145103,0.0001421387383706,0.4498668068893633,1.2357971756441208,87.0,1.0,13.0,20.0,4.35,5.0,4.609195402298851,4.846153846153846,1.0399898784932577,,0.9067745269742158,0.37553380809940545,30612,9781,17210,24557,35157,15.1,14.1,781440,114783,449377,217280,129607,62187,42749,123581,110962,115870,196484,362586,58489,239546,64551,418854,56294,209831,152729,223766,39491,147661,36614,271956,38315,141106,92535,217171,772445,867595.8,32
Mariy-El Republic,0.0207317887427388,0.0187248829694814,0.0114492753623188,0.0142557237772818,Low,Марий Эл,1.9468543916642065,0.0001632177070152,0.5522569954958108,1.2451201780157566,113.0,3.0,28.0,13.0,4.769230769230769,4.666666666666667,4.6371681415929205,4.642857142857143,0.5991446895152781,0.5773502691896258,0.7799032323520161,0.9893613995077729,29733,10166,17425,24401,34271,13.8,15.4,676351,132939,376367,167045,147312,49793,36576,114379,88461,90046,149784,315087,67911,196860,50316,361264,65028,179507,116729,210145,48152,129514,32479,253237,46226,128709,78302,229656,1085519,1039690.9,51
Kabardino-Balkariya Republic,0.020668054653499,0.0343997850013437,0.0097826086956521,0.0120309389945289,Low,Кабардино-Балкарская Республика,1.9534368420823185,0.0001176939684247,0.4733202451637615,1.2298293194407326,343.0,7.0,38.0,35.0,4.8,4.857142857142857,4.545189504373178,4.7894736842105265,0.6324555320336757,0.37796447300922725,0.9749037479588719,0.7409962153618967,38681,11749,21076,30491,44270,16.0,14.8,904338,199410,539605,165323,220387,88817,64226,152460,115327,116700,146421,429493,101960,275236,52297,474845,97450,264369,113026,217057,47909,140122,29026,252388,46229,141261,64898,394611,2566148,1897075.6,18
Kamchatka,0.0202553005517551,0.0179670752057799,0.0158695652173913,0.0193120729610306,Low,Камчатский край,1.8416511232628812,0.000306474201338,0.7834771533921386,1.2169251454895995,79.0,0.0,15.0,6.0,5.0,,4.6075949367088604,4.266666666666667,0.0,,0.7581644757450237,1.162919151265879,84661,24794,45088,65878,96614,16.7,10.9,292574,56848,179192,56534,63074,23158,16971,54569,46261,37861,50680,142988,29064,96275,17649,149586,27784,82917,38885,110953,22770,75219,12964,117075,21674,66022,29379,309863,779904,3148948.6,114
Khakasiya Republic,0.0171808894850892,0.0200858119636752,0.0063768115942028,0.0067921517296383,Low,Республика Хакасия,1.765807815606452,4.331227189914323e-05,0.3711572442007232,1.0651328848751112,82.0,0.0,10.0,23.0,4.869565217391305,,4.390243902439025,4.9,0.45769658728016016,,1.0153889671411593,0.31622776601683783,34979,12151,20698,28856,40346,13.5,16.9,532988,116811,297354,118823,128990,38505,28700,91474,77132,61195,106992,245046,60155,149370,35521,287942,56656,147984,83302,164431,40122,100509,23800,200584,37891,104705,57988,410955,1553451,745496.8,51
Adygeya Republic,0.0153993699430035,0.0132686670708308,0.0097826086956521,0.0109697111132445,Low,Адыгея,1.7811276281391153,0.0001073123913252,0.6352603211598776,1.1213482471316605,532.0,0.0,29.0,15.0,4.6,,4.657894736842105,4.758620689655173,0.9102589898327995,,0.8523114048838222,0.8304547985373996,42595,11384,21412,32055,48193,18.2,12.3,498285,98262,286770,113253,108950,42259,32631,82404,68289,61340,102412,233517,50265,147331,35921,264768,47997,139439,77332,112785,24317,71846,16622,133650,23902,72050,37698,363854,976202,979965.0,28
Chechnya,0.0142430514667945,0.0738854757157767,0.006231884057971,0.0079368005557677,Low,Чеченская республика,2.116236329728026,4.946122085478468e-05,0.4375385480070543,1.2735796240650632,129.0,2.0,10.0,8.0,4.75,5.0,4.488372093023256,4.6,0.7071067811865478,0.0,1.0466932981848678,1.2649110640673518,35692,10459,19016,27779,40734,16.6,19.1,1514603,494014,871519,149070,551356,194777,108853,239511,160714,130036,129356,759169,254222,454734,50213,755434,239792,416785,98857,291564,100513,174896,16155,286217,94811,158626,32780,306050,756211,778052.1,17
