средний доход,20тый персентиль дохода,40ой персентиль дохода,60тый персентиль дохода,80тый персентиль дохода,доля населения с доходом ниже медианы по региону,население с доходом ниже границы бедности,население,моложе трудоспособного возраста,в трудоспособном возрасте,старше трудоспособного возраста,моложе 18,Возраст от 18 до 25,Возраст от 25 до 30,Возраст от 31 до 40,Возраст от 41 до 50,Возраст от 51 до 60,Старше 60,мужчины,мужчины моложе трудоспособного возраста,мужчины трудоспособного возраста,мужчины старше трудоспособного возраста,женщины,мужчины моложе трудоспособного возраста.1,женщины трудоспособного возраста,женщины старше трудоспособного возраста,городские мужчины,городские мужчины моложе трудоспособного возраста,городские мужчины в трудоспособном возрасте,городские мужчины в трудоспособном возрасте.1,городские женщины,городские женщины моложе трудоспособного возраста,городские женщины в трудоспо-собном возрасте,городские женщины старше трудоспо-собного возраста,оценка туристского потока (число поездок),оценка туристского потока (число ночевок),доход от гостиниц/отелей/хостелов в год (тыс),число турфирм,region
39401,12698,22269,31701,45274,14.9,10.8,2592013,498265,1463954,629794,557358,197629,148477,433163,372805,312650,569931,1186167,255491,746340,184336,1405846,242774,717614,445458,1015961,220297,642541,153123,1226837,209233,631997,385607,1423328,5871801,4835213.0,202,Kemerovo Oblast
52221,15294,27811,40635,59593,16.7,5.0,4000084,773743,2283072,943269,851777,306695,242278,693484,536334,522134,847382,1868294,397453,1185297,285544,2131790,376290,1097775,657725,1413083,315358,893441,204284,1657832,299037,868527,490268,4191422,13998938,16846118.7,628,Tatarstan Republic
110218,29439,55384,82928,124698,18.2,6.7,135907,24995,84617,26295,27987,9868,7992,24556,23733,18477,23294,66125,12851,45194,8080,69782,12144,39423,18215,63505,12393,43493,7619,67482,11699,38452,17331,142781,335651,680505.1,7,Magadan Oblast
34244,10493,18759,27076,39216,15.9,18.0,210808,57670,116027,37111,64155,18608,11385,32833,28118,22890,32819,99464,29439,58616,11409,111344,28231,57411,25702,29399,7988,18302,3109,35964,7604,20574,7786,1037722,3125812,3572763.6,39,Altai
40326,13104,22908,32536,46360,14.8,10.2,924114,149869,516959,257286,167398,67142,45541,145137,137277,129736,231883,414279,77559,268456,68264,509835,72310,248503,189022,333816,65375,216120,52321,423536,60628,209454,153454,466711,1839723,2514185.4,135,Ivanovo Oblast
27080,9842,16468,22667,31284,12.5,20.6,266432,58638,150417,57377,65218,21450,15977,44381,32699,36261,50446,128434,30319,80142,17973,137998,28319,70275,39404,56734,14861,34069,7804,67911,13897,34878,19136,93845,220139,169440.4,13,Kalmykiya Republic
52984,17118,29992,42666,60890,14.9,11.1,532384,91510,293919,146955,102885,34955,23576,85219,80048,72997,132704,238824,46580,151836,40408,293560,44930,142083,106547,186861,38023,119218,29620,235958,36705,117391,81862,1159048,2389624,5480804.4,136,Karelia
39471,14463,24121,33124,45609,12.3,9.3,547452,93079,329288,125085,103652,46331,32829,101220,81201,67419,114800,260690,47839,172162,40689,286762,45240,157126,84396,239987,44411,157965,37611,265299,42029,145073,78197,286913,1685366,2822435.3,66,Crimea
35749,11849,20557,29037,41143,14.4,12.4,1191661,201949,660923,328789,223495,83486,68132,189913,160361,171492,294782,548113,103864,347853,96396,643548,98085,313070,232393,416135,82646,265117,68372,498571,77872,249250,171449,714632,2597172,2066797.4,84,Ulyanovsk Oblast
43716,12404,22824,33631,49751,17.2,12.3,886900,140553,502275,244072,156376,64279,46257,145442,130660,124210,219676,402440,72116,263101,67223,484460,68437,239174,176849,285693,52981,186783,45929,358576,50492,179442,128642,493297,1863858,942324.0,75,Smolensk Oblast
42595,11384,21412,32055,48193,18.2,12.3,498285,98262,286770,113253,108950,42259,32631,82404,68289,61340,102412,233517,50265,147331,35921,264768,47997,139439,77332,112785,24317,71846,16622,133650,23902,72050,37698,363854,976202,979965.0,28,Adygeya Republic
41193,14133,24191,33844,47487,13.7,9.3,1226038,203815,679665,342558,226048,85427,62559,198592,175949,167699,309764,558561,104241,357774,96546,667477,99574,321891,246012,417750,81368,267743,68639,518255,77730,253788,186737,3169682,9298718,7258510.6,144,Tver Oblast
44971,12851,23584,34686,51212,17.1,6.9,2302617,368159,1309476,624982,410420,169011,141907,383671,322117,308011,567480,1064328,189099,684494,190735,1238289,179060,624982,434247,721287,132299,466449,122539,856213,125400,445367,285446,1609535,4949420,3561378.1,173,Voronezh Oblast
32313,10613,18477,26166,37170,14.6,13.9,1183908,231514,664025,288369,255742,86261,62581,188179,165256,167838,258051,548713,119000,344807,84906,635195,112514,319218,203463,336956,81638,209678,45640,421106,77308,222922,120876,670040,2289308,2595568.0,89,Chuvashia
39492,12686,22276,31739,45369,15.0,10.9,1098579,174458,612415,311706,194329,77352,56950,173988,159951,152707,283302,497369,89681,318813,88875,601210,84777,293602,222831,347925,65093,224097,58735,436072,61270,217730,157072,1168812,3420867,2908260.8,94,Ryazan Oblast
50283,14110,26069,38528,57166,17.4,7.5,3108918,543407,1740931,824580,602860,224202,164130,517664,445853,407595,746614,1408266,279365,899280,229621,1700652,264042,841651,594959,1108979,228055,707637,173287,1376284,215562,692182,468540,2504365,8890460,9077501.1,420,Nizhny Novgorod Oblast
50368,14224,26218,38682,57297,17.3,14.0,2856326,569281,1659215,627830,630531,226180,180493,501491,413040,341217,563374,1328198,292589,849514,186095,1528128,276692,809701,441735,1043692,223934,681628,138130,1224776,212052,670861,341863,1714776,5743501,6702484.3,345,Krasnoyarsk Krai
47184,14379,25761,37236,54014,16.0,6.0,1536466,258850,873576,404040,288067,111189,92234,253902,218471,208349,364254,712397,133185,456410,122802,824069,125665,417166,281238,455190,87356,295691,72143,548158,84686,286899,176573,582672,2112727,2078867.4,112,Belgorod Oblast
54010,16537,29573,42693,61849,15.9,10.3,1841961,322405,1089242,430314,359077,154065,104441,312850,284581,238268,388679,863725,163498,571361,128866,978236,158907,517881,301448,670624,127557,447186,95881,774761,124496,416210,234055,2118237,7952384,6429772.9,118,Primorye
28920,8516,15455,22548,33018,16.6,25.9,336251,113268,188579,34404,123760,31030,23709,54155,41681,33409,28507,158961,57751,91897,9313,177290,55517,96682,25091,84953,30145,50094,4714,99361,29105,56566,13690,75248,312479,256466.6,11,Republic of Tyva
42704,14042,24436,34593,49126,14.5,10.5,1138424,220736,630828,286860,244965,79166,60196,186226,161755,148817,257299,522210,112606,328319,81285,616214,108130,302509,205575,369359,84626,233303,51430,455622,81658,231072,142892,904547,2564029,3415530.7,106,Vologda Oblast
49347,14300,26107,38253,56264,16.8,10.2,2797492,535264,1598243,663985,592110,216807,162996,489839,401981,332837,600922,1281351,274670,808524,198157,1516141,260594,789719,465828,1007632,214129,643865,149638,1221474,203001,651871,366602,2777827,8739968,8180532.4,337,Novosibirsk Oblast
40161,12749,22488,32146,46104,15.2,11.4,1164635,200373,659068,305194,223666,83589,67801,184970,165684,163616,275309,533625,102837,344015,86773,631010,97536,315053,218421,363213,72306,231843,59064,446427,68664,222849,154914,582488,2520420,1728119.8,98,Bryansk Oblast
38889,12984,22462,31664,44774,14.2,11.6,581578,103944,318097,159537,115946,41855,28963,92102,81927,77622,143163,261063,53836,164076,43151,320515,50108,154021,116386,186511,40749,117760,28002,238272,37888,117173,83211,2413687,7899208,3049016.1,64,Novgorod Oblast
32171,11298,19162,26634,37123,13.2,11.2,2902455,535490,1709004,657961,598960,250429,199558,495815,405327,353111,599255,1368613,275617,881232,211764,1533842,259873,827772,446197,818728,157785,535412,125531,939902,148008,524993,266901,2581145,17392190,36108967.6,177,Stavropol Kray
53343,14521,27129,40418,60467,17.9,8.1,4263691,840806,2399910,1022975,929039,328486,230321,716853,619600,510046,929346,1974676,431739,1242014,300923,2289015,409067,1157896,722052,1684610,367675,1069919,247016,1973918,348022,1017189,608707,3157004,10185979,13029768.2,454,Sverdlovsk Oblast
29733,10166,17425,24401,34271,13.8,15.4,676351,132939,376367,167045,147312,49793,36576,114379,88461,90046,149784,315087,67911,196860,50316,361264,65028,179507,116729,210145,48152,129514,32479,253237,46226,128709,78302,229656,1085519,1039690.9,51,Mariy-El Republic
139638,29742,60609,96180,153479,21.4,4.0,511244,118576,329920,62748,131730,40492,33263,99404,87889,65964,52502,249206,60586,169908,18712,262038,57990,160012,44036,210696,48146,146245,16305,222313,46148,137928,38237,318734,703114,2475212.7,39,Yamalo-Nenets
25511,9253,15494,21340,29470,12.6,21.5,469096,99780,275519,93797,111213,43800,32132,77609,61794,58409,84139,220961,50985,139326,30650,248135,48795,136193,63147,88208,20004,55512,12692,105708,19036,59405,27267,923044,2919037,990164.0,14,Karachayevo-Cherkesiya Republic
36601,11267,20109,28986,41930,15.8,11.6,1855781,360892,1039313,455576,401018,148758,99145,292264,258597,247465,408534,861284,186231,538213,136840,994497,174661,501100,318736,501823,103362,323340,75121,606907,97206,320611,189090,912871,3712638,1945770.4,153,Orenburg Oblast
36465,12038,20917,29578,41958,14.5,12.5,957772,203640,543830,210302,225214,75953,56253,160143,132511,119067,188631,449662,104228,280239,65195,508110,99412,263591,145107,284004,65420,177187,41397,331754,62480,173692,95582,705067,2637914,3372313.1,103,Astrakhan Oblast
43287,14592,25150,35359,49862,14.1,10.8,1030979,183973,603185,243821,204784,87871,57538,175488,151438,133506,220354,487967,94754,317645,75568,543012,89219,285540,168253,370716,71551,239884,59281,420644,67195,220078,133371,1325935,5902659,7536169.1,117,Kaliningrad Oblast
38263,11965,21227,30468,43882,15.5,17.7,977951,236220,554161,187570,262656,87557,58567,166324,130268,105469,167110,458813,121123,282929,54761,519138,115097,271232,132809,264506,68531,165931,30044,314056,65165,169236,79655,820586,2400893,3149953.3,46,Buryatiya Republic
69031,18010,34173,51484,77904,18.5,15.2,997833,239899,600232,157702,266842,103164,73454,172725,129901,114790,136957,482710,122227,313130,47353,515123,117672,287102,110349,321712,76645,216175,28892,346713,73808,201718,71187,245878,673349,1088147.2,27,Sakha
43636,14280,24896,35291,50185,14.6,9.5,577996,107714,307707,162575,120716,36905,25641,88444,80620,78735,146935,262672,55082,160375,47215,315324,52632,147332,115360,190698,41522,117654,31522,235848,39967,114021,81860,454685,1203106,2283873.1,66,Kostroma Oblast
38005,12802,22071,31036,43775,14.1,10.6,1149176,198538,617040,333598,220168,69903,51105,181791,166936,155666,303607,525107,101719,323981,99407,624069,96819,293059,234191,403709,82753,251843,69113,491945,78704,240376,172865,733738,2979440,2786766.9,135,Kirov Oblast
36315,11153,19923,28737,41596,15.8,13.8,2154932,424089,1182444,548399,471848,171733,127523,323311,296052,266848,497617,985906,217553,603618,164735,1169026,206536,578826,383664,561897,121221,355479,85197,693062,115549,364415,213098,1505214,6335800,11347501.1,186,Altai Krai
55717,18064,31607,44919,64045,14.8,9.8,1292764,243458,764628,284678,270371,111616,76946,229029,193162,153293,258347,610097,124691,399614,85792,682667,118767,365014,198886,502610,102352,329039,71219,576207,97744,309242,169221,1097261,2931338,2698163.5,113,Khabarovsk
42570,12519,22730,33174,48596,16.6,11.9,1602672,348387,900273,354012,382432,120532,91273,287871,214531,189249,316784,740437,178107,456359,105971,862235,170280,443914,248041,488737,119596,304302,64839,594213,114825,313189,166199,1388552,4081863,8311472.0,312,Tyumen Oblast
44538,15370,26249,36663,51357,13.6,7.5,1073252,178914,617757,276581,199223,80722,61480,184846,155136,141361,250484,509427,91593,333633,84201,563825,87321,284124,192380,377917,69162,246940,61815,427401,66374,215657,145370,771936,2422663,2948772.1,133,Kaluga Oblast
40006,11934,21553,31335,45723,16.3,10.0,4091621,818105,2328492,945024,909177,326718,232738,693930,529831,555411,843816,1934940,420581,1223019,291340,2156681,397524,1105473,653684,1176332,261721,750572,164039,1362995,247410,726091,389494,2154174,8870912,11391604.5,297,Bashkortostan Republic
38619,13529,22969,31946,44559,13.3,9.8,1342235,219772,749208,373255,245713,97164,71619,214455,194152,182106,337026,609524,113064,392503,103957,732711,106708,356705,269298,466521,90409,300475,75637,575145,85537,283398,206210,1134860,3251101,3939690.8,170,Vladimir Oblast
30612,9781,17210,24557,35157,15.1,14.1,781440,114783,449377,217280,129607,62187,42749,123581,110962,115870,196484,362586,58489,239546,64551,418854,56294,209831,152729,223766,39491,147661,36614,271956,38315,141106,92535,217171,772445,867595.8,32,Mordoviya Republic
35692,10459,19016,27779,40734,16.6,19.1,1514603,494014,871519,149070,551356,194777,108853,239511,160714,130036,129356,759169,254222,454734,50213,755434,239792,416785,98857,291564,100513,174896,16155,286217,94811,158626,32780,306050,756211,778052.1,17,Chechnya
84661,24794,45088,65878,96614,16.7,10.9,292574,56848,179192,56534,63074,23158,16971,54569,46261,37861,50680,142988,29064,96275,17649,149586,27784,82917,38885,110953,22770,75219,12964,117075,21674,66022,29379,309863,779904,3148948.6,114,Kamchatka
35472,12017,20671,29022,40869,14.0,9.4,2492808,409110,1454545,629153,452843,197371,144460,420125,371126,334569,572314,1167543,210026,758925,198592,1325265,199084,695620,430561,893090,158406,585137,149547,1038141,150636,554918,332587,1425779,3831696,3084192.9,160,Volgograd Oblast
34979,12151,20698,28856,40346,13.5,16.9,532988,116811,297354,118823,128990,38505,28700,91474,77132,61195,106992,245046,60155,149370,35521,287942,56656,147984,83302,164431,40122,100509,23800,200584,37891,104705,57988,410955,1553451,745496.8,51,Khakasiya Republic
